SimulationTime,VS_Pending,VS_Berthing,WA_Idling,WA_BeingOccupied,QCL_Idling,QCL_Discharging,QCL_Loading,QC_Idling,QC_Repositioning,QC_RestoringToDischarge,QC_LiftAndTransportDisch,QC_PendingToDrop,QC_DroppingToMount,QC_RestoringToLoad,QC_LiftingToLoad,QC_TransportAndLoading,CTN_BeingTransportedToYardFromGate,CTN_PendingToBeDischarged,CTN_BeingDischarged,CTN_PendMountedAtQuay,CTN_BeingMountedAtQuay,CTN_BeingTransportedToYard,CTN_PendDismountedAtYard,CTN_BeingDismountedAtYard,CTN_BeingStacked,CTN_Dwelling,CTN_DwellingForImport,CTN_PendingToAssignAGV,CTN_PendingToAssignYC,CTN_PendingToBeUnstacked,CTN_BeingUnstacked,CTN_PendMountedAtYard,CTN_PendMountForImport,CTN_BeingMountedAtYard,CTN_BeingTransportedToQuay,CTN_PendDismountedAtQuay,CTN_BeingDismountedAtQuay,CTN_BeingLoaded,CTN_BeingTransportedToGate,AGV_Idling,AGV_Repositioning,AGV_PickingFromQuay,AGV_PendDeliverToYard,AGV_DeliveringToYard,AGV_PendIdleAtYard,AGV_PickingFromYard,AGV_PendDeliverToQuay,AGV_DeliveringToQuay,AGV_PendIdleAtQuay,YC_Idling,YC_Repositioning,YC_RestoringToStack,YC_LiftingToStack,YC_TransportAndStacking,YC_RestoreReshuffleUnst,YC_LiftTransportUnstack,YC_PendingToDrop,YC_DroppingToMount,YA_Idling,YA_BeingOccupied
0001-01-02 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000000,0.000118,0.000000,1.908948,3.679465,0.000081,3.883833,0.858635,1.570533,1.682289,0.000039,0.000118,0.000081,0.000081,0.000081,0.000081,0.000119,0.000119,0.000119,0.000114,90.107690,0.000067,0.000038,0.000038,0.000038,0.000038,0.000000,0.000037,0.000037,0.000037,0.000036,0.000036,0.000000,0.000121,0.000000,16.767238,0.000081,38.044290,0.000080,4.525913,0.000038,17.674114,0.000037,0.000160,0.000000,2.807123,4.162633,4.232275,4.885436,1.677095,0.000038,1.772727,0.000156,0.000156
0001-01-03 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000169,0.000000,2.007781,3.839840,0.000081,3.649342,2.207174,3.968850,4.209797,0.000043,0.000077,0.000081,0.000081,0.000081,0.000081,0.000124,0.000124,0.000124,0.000119,674.252130,0.000098,0.000087,0.000087,0.000087,0.000087,0.000000,0.000088,0.000088,0.000088,0.000088,0.000088,0.000000,0.000170,0.000000,14.608129,0.000081,38.503732,0.000081,17.382768,0.000087,42.574421,0.000088,0.000212,0.000000,2.961666,4.300678,4.413820,11.884988,3.682765,0.000087,3.898124,0.000119,0.000119
0001-01-04 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000196,0.000000,2.280047,3.917754,0.000092,4.283917,2.520542,4.793303,4.769792,0.000009,0.000063,0.000092,0.000092,0.000092,0.000092,0.000101,0.000102,0.000102,0.000082,1591.786575,0.000087,0.000110,0.000110,0.000110,0.000105,0.000005,0.000110,0.000104,0.000104,0.000104,0.000104,0.000005,0.000196,0.000000,8.480651,0.000092,43.578489,0.000092,18.650840,0.000104,50.258143,0.000104,0.000211,0.000000,2.395231,3.692814,3.436449,14.269588,4.675044,0.000110,4.606293,0.000072,0.000072
0001-01-05 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000129,0.000000,1.807678,3.525472,0.000076,3.370217,1.306145,2.271189,2.477204,0.000009,0.000080,0.000076,0.000076,0.000076,0.000076,0.000084,0.000084,0.000084,0.000075,2077.920676,0.000065,0.000060,0.000060,0.000059,0.000053,0.000006,0.000059,0.000053,0.000054,0.000054,0.000054,0.000006,0.000129,0.000000,11.221016,0.000076,35.595071,0.000075,7.610014,0.000054,25.967234,0.000054,0.000143,0.000000,2.152318,2.796341,2.955781,8.259351,2.580692,0.000059,2.540724,0.000089,0.000089
0001-01-06 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000000,0.000196,0.000000,2.510011,4.551757,0.000101,4.607865,2.308305,4.466483,4.437347,0.000010,0.000132,0.000101,0.000101,0.000101,0.000101,0.000111,0.000111,0.000111,0.000105,1650.084140,0.000076,0.000114,0.000114,0.000114,0.000095,0.000019,0.000114,0.000095,0.000095,0.000095,0.000095,0.000019,0.000196,0.000000,6.535305,0.000101,47.240023,0.000101,12.589419,0.000095,45.305644,0.000095,0.000225,0.000000,2.642922,3.775261,3.801222,16.185272,5.005372,0.000114,4.784594,0.000142,0.000142
0001-01-07 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000185,0.000000,2.702475,5.049115,0.000113,5.193595,1.790198,3.286784,3.261287,0.000012,0.000101,0.000113,0.000113,0.000113,0.000113,0.000124,0.000124,0.000124,0.000110,1279.870044,0.000088,0.000083,0.000082,0.000082,0.000073,0.000009,0.000082,0.000073,0.000073,0.000073,0.000072,0.000009,0.000185,0.000000,18.429014,0.000113,53.176424,0.000112,9.863948,0.000074,35.632768,0.000073,0.000206,0.000000,2.977840,4.133560,4.424755,10.989769,3.637934,0.000082,3.510904,0.000113,0.000113
0001-01-08 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000222,0.000000,2.491601,4.672161,0.000101,4.787123,2.964114,5.674327,5.577616,0.000011,0.000301,0.000101,0.000101,0.000101,0.000101,0.000112,0.000112,0.000112,0.000103,1952.755324,0.000135,0.000126,0.000126,0.000126,0.000120,0.000006,0.000126,0.000120,0.000121,0.000121,0.000121,0.000006,0.000222,0.000000,10.483035,0.000101,48.034052,0.000101,28.941538,0.000120,57.310838,0.000121,0.000239,0.000000,2.730908,3.933346,3.843118,16.833155,5.143976,0.000126,5.429476,0.000312,0.000312
0001-01-09 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000304,0.000000,4.000034,7.467326,0.000163,7.638149,3.483678,6.401742,6.553473,0.000012,0.000101,0.000163,0.000163,0.000163,0.000163,0.000175,0.000175,0.000175,0.000161,2058.841541,0.000156,0.000160,0.000160,0.000160,0.000142,0.000017,0.000159,0.000142,0.000142,0.000142,0.000141,0.000017,0.000305,0.000000,19.263514,0.000163,77.692040,0.000163,22.539452,0.000142,68.267775,0.000142,0.000334,0.000000,4.245564,6.317977,6.237379,21.980907,6.677117,0.000160,6.791916,0.000113,0.000113
0001-01-10 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000205,0.000000,2.606760,4.861200,0.000104,4.824844,2.384668,4.592306,4.751474,0.000010,0.000088,0.000104,0.000104,0.000103,0.000103,0.000114,0.000114,0.000114,0.000110,1535.459229,0.000132,0.000107,0.000108,0.000108,0.000101,0.000007,0.000108,0.000101,0.000101,0.000101,0.000101,0.000007,0.000204,0.000000,12.581731,0.000103,48.890349,0.000103,16.505089,0.000101,49.058686,0.000101,0.000221,0.000000,2.723297,3.763819,3.971952,14.180447,4.692219,0.000108,4.531556,0.000098,0.000098
0001-01-11 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000001,0.000215,0.000000,2.600129,4.790925,0.000105,4.682415,2.654605,5.084977,4.914376,0.000010,0.000076,0.000105,0.000105,0.000106,0.000106,0.000115,0.000115,0.000115,0.000107,1257.829934,0.000053,0.000122,0.000122,0.000122,0.000108,0.000014,0.000122,0.000108,0.000109,0.000109,0.000109,0.000014,0.000215,0.000000,12.342716,0.000106,49.726302,0.000106,17.953952,0.000108,52.523851,0.000109,0.000238,0.000000,2.906155,3.948060,4.115207,16.309688,5.121800,0.000122,5.215014,0.000085,0.000085
