SimulationTime,VS_Pending,VS_Berthing,WA_Idling,WA_BeingOccupied,QCL_Idling,QCL_Discharging,QCL_Loading,QC_Idling,QC_Repositioning,QC_RestoringToDischarge,QC_LiftAndTransportDisch,QC_PendingToDrop,QC_DroppingToMount,QC_RestoringToLoad,QC_LiftingToLoad,QC_TransportAndLoading,CTN_BeingTransportedToYardFromGate,CTN_PendingToBeDischarged,CTN_BeingDischarged,CTN_PendMountedAtQuay,CTN_BeingMountedAtQuay,CTN_BeingTransportedToYard,CTN_PendDismountedAtYard,CTN_BeingDismountedAtYard,CTN_BeingStacked,CTN_Dwelling,CTN_DwellingForImport,CTN_PendingToAssignAGV,CTN_PendingToAssignYC,CTN_PendingToBeUnstacked,CTN_BeingUnstacked,CTN_PendMountedAtYard,CTN_PendMountForImport,CTN_BeingMountedAtYard,CTN_BeingTransportedToQuay,CTN_PendDismountedAtQuay,CTN_BeingDismountedAtQuay,CTN_BeingLoaded,CTN_BeingTransportedToGate,AGV_Idling,AGV_Repositioning,AGV_PickingFromQuay,AGV_PendDeliverToYard,AGV_DeliveringToYard,AGV_PendIdleAtYard,AGV_PickingFromYard,AGV_PendDeliverToQuay,AGV_DeliveringToQuay,AGV_PendIdleAtQuay,YC_Idling,YC_Repositioning,YC_RestoringToStack,YC_LiftingToStack,YC_TransportAndStacking,YC_RestoreReshuffleUnst,YC_LiftTransportUnstack,YC_PendingToDrop,YC_DroppingToMount,YA_Idling,YA_BeingOccupied
0001-01-02 00:00:00,0.000000,9.948630,1.000000,9.948630,46.160897,24.344878,5.494225,47.543800,0.000000,1.909030,3.679546,14.872143,3.883914,0.858671,1.570569,1.682325,0.000078,3305.839219,3.679396,14.871807,3.884076,38.044532,7.489150,4.162766,4.232395,2237.833681,90.107690,1076.813820,1.670446,4.885477,1.677133,2.375425,0.000000,1.772839,17.674224,10.325039,1.570574,1.682289,0.000000,270.665987,0.000000,16.767319,5.492276,38.044370,7.078812,4.525950,7.855445,17.674150,11.895686,286.086734,0.000000,2.807242,4.162752,4.232394,4.885474,1.677132,2.375505,1.772764,0.999844,6794.945743
0001-01-03 00:00:00,0.000000,13.054456,1.000000,13.054456,39.385162,22.542774,14.072063,43.071383,0.000000,2.007862,3.839922,13.045323,3.649424,2.207262,3.968938,4.209886,0.000086,2174.976019,3.839838,13.045109,3.649586,38.503976,7.742776,4.300817,4.413947,6098.048776,674.252130,1741.320075,4.645538,11.885084,3.682856,10.119668,0.000000,3.898387,42.574684,25.104937,3.968948,4.209798,0.000000,207.688556,0.000000,14.608211,5.696614,38.503814,7.636352,17.382855,16.835028,42.574509,29.074061,266.737470,0.000000,2.961791,4.300802,4.413945,11.885075,3.682852,10.119854,3.898211,0.999881,10784.198607
0001-01-04 00:00:00,0.000000,11.701689,1.000000,11.701689,41.551619,18.122822,16.325559,45.793506,0.000000,2.280138,3.917846,7.640552,4.284009,2.520646,4.793407,4.769896,0.000018,1395.383634,3.917734,7.640307,4.284194,43.578766,6.445841,3.692927,3.436554,6126.216658,1591.786581,3250.191634,6.778725,14.269708,4.675158,10.395872,0.000011,4.606622,50.258455,28.981545,4.793419,4.769794,0.000005,188.931810,0.000000,8.480743,6.912529,43.578581,9.047051,18.650945,20.364922,50.258247,33.775172,264.527830,0.000000,2.395333,3.692915,3.436550,14.269698,4.675154,10.396117,4.606402,0.999928,12462.222772
0001-01-05 00:00:00,0.000000,10.575088,1.000000,10.575088,49.278400,18.601419,8.120181,51.344109,0.000000,1.807754,3.525547,9.897598,3.370293,1.306199,2.271243,2.477257,0.000018,1849.037893,3.525447,9.897414,3.370444,35.595298,4.117026,2.796435,2.955867,7148.859900,2077.920682,1136.652344,1.946181,8.259416,2.580753,4.338982,0.000012,2.540903,25.967394,14.619562,2.271249,2.477205,0.000006,260.610580,0.000000,11.221092,5.354454,35.595147,6.152265,7.610068,10.598189,25.967287,16.890918,282.375242,0.000000,2.152402,2.796425,2.955865,8.259410,2.580751,4.339120,2.540784,0.999911,12287.413804
0001-01-06 00:00:00,0.000000,10.927171,1.000000,10.927171,43.732551,17.635754,14.631695,47.152128,0.000000,2.510112,4.551858,5.965516,4.607966,2.308400,4.466578,4.437442,0.000021,4282.264109,4.551423,5.965246,4.608167,47.240325,8.521056,3.775386,3.801335,7850.417462,1650.084159,1615.855916,6.216711,16.185397,5.005490,6.551739,0.000038,4.784936,45.305929,28.753414,4.466589,4.437348,0.000019,195.501782,0.000000,6.535406,7.910216,47.240124,11.034870,12.589514,20.662156,45.305739,33.220193,265.252661,0.000000,2.643033,3.775373,3.801333,16.185386,5.005486,6.552020,4.784708,0.999858,15503.846515
0001-01-07 00:00:00,0.000000,14.732261,1.000000,14.732262,35.797872,29.208195,10.993933,38.453657,0.000000,2.702587,5.049228,16.262334,5.193708,1.790270,3.286856,3.261359,0.000023,4279.450065,5.049101,16.262051,5.193933,53.176761,6.841283,4.133699,4.424881,10642.950250,1279.870053,866.549976,3.414693,10.989859,3.638020,5.456841,0.000018,3.511151,35.632987,20.460108,3.286864,3.261288,0.000009,206.581420,0.000000,18.429127,7.822443,53.176536,10.032328,9.864022,14.714166,35.632841,23.747117,272.867584,0.000000,2.977964,4.133684,4.424879,10.989852,3.638016,5.457036,3.510986,0.999887,17181.749966
0001-01-08 00:00:00,0.000000,15.244464,1.000000,15.244464,34.813908,21.917349,19.268743,39.866536,0.000000,2.491703,4.672263,9.965855,4.787224,2.964235,5.674448,5.577737,0.000023,5846.532721,4.672005,9.965012,4.787427,48.034356,9.077472,3.933472,3.843233,7346.693453,1952.755330,4680.581783,8.231646,16.833293,5.144107,16.944736,0.000012,5.429855,57.311200,34.020001,5.674462,5.577618,0.000006,153.779022,0.000000,10.483136,8.013047,48.034154,11.720832,28.941658,22.022486,57.310959,39.694705,253.140288,0.000000,2.731020,3.933459,3.843230,16.833281,5.144102,16.945017,5.429603,0.999688,19935.484371
0001-01-09 00:00:00,0.000000,19.590580,1.000000,19.590580,17.419817,36.383133,22.197050,23.178038,0.000000,4.000196,7.467489,17.276647,7.638312,3.483820,6.401883,6.553615,0.000024,17507.335376,7.467280,17.276187,7.638638,77.692529,15.618749,6.318174,6.237557,8848.427143,2058.841558,4455.316075,13.146965,21.981081,6.677283,11.415158,0.000035,6.792394,68.268200,39.710084,6.401899,6.553476,0.000017,81.135957,0.000000,19.263677,12.331461,77.692203,20.262367,22.539595,32.394558,68.267916,46.112267,244.332603,0.000000,4.245739,6.318152,6.237554,21.981067,6.677277,11.415532,6.792075,0.999887,33049.761949
0001-01-10 00:00:00,0.000000,14.173867,1.000000,14.173867,36.974531,23.544638,15.480831,40.726921,0.000000,2.606863,4.861303,11.251213,4.824948,2.384770,4.592407,4.751575,0.000021,13193.201214,4.861166,11.250850,4.825155,48.890659,7.919690,3.763946,3.972067,9661.835870,1535.459236,3823.092602,6.249309,14.180566,4.692330,8.786279,0.000014,4.531879,49.058988,29.005784,4.592419,4.751475,0.000007,181.038239,0.000000,12.581834,7.918879,48.890453,10.704412,16.505189,19.703803,49.058786,33.598405,265.349525,0.000000,2.723410,3.763932,3.972065,14.180555,4.692327,8.786522,4.531663,0.999902,28324.076054
0001-01-11 00:00:00,0.000000,14.066109,1.000000,14.066109,36.181539,23.069755,16.748707,40.276277,0.000000,2.600235,4.791031,10.995651,4.682521,2.654714,5.085086,4.914485,0.000019,11058.268720,4.790965,10.995401,4.682732,49.726619,8.516308,3.948190,4.115323,8620.169152,1257.829947,4802.233771,8.208298,16.309821,5.121926,9.391533,0.000027,5.215380,52.524177,30.556809,5.085099,4.914378,0.000014,170.108316,0.000000,12.342821,7.721122,49.726408,11.399446,17.954060,22.581741,52.523960,35.642126,260.991546,0.000000,2.906270,3.948176,4.115322,16.309809,5.121922,9.391819,5.215136,0.999915,25854.819212
