SimulationTime,VS_Pending,VS_Berthing,WA_Idling,WA_BeingOccupied,QCL_Idling,QCL_Discharging,QCL_Loading,QC_Idling,QC_Repositioning,QC_RestoringToDischarge,QC_LiftAndTransportDisch,QC_PendingToDrop,QC_DroppingToMount,QC_RestoringToLoad,QC_LiftingToLoad,QC_TransportAndLoading,CTN_BeingTransportedToYardFromGate,CTN_PendingToBeDischarged,CTN_BeingDischarged,CTN_PendMountedAtQuay,CTN_BeingMountedAtQuay,CTN_BeingTransportedToYard,CTN_PendDismountedAtYard,CTN_BeingDismountedAtYard,CTN_BeingStacked,CTN_Dwelling,CTN_DwellingForImport,CTN_PendingToAssignAGV,CTN_PendingToAssignYC,CTN_PendingToBeUnstacked,CTN_BeingUnstacked,CTN_PendMountedAtYard,CTN_PendMountForImport,CTN_BeingMountedAtYard,CTN_BeingTransportedToQuay,CTN_PendDismountedAtQuay,CTN_BeingDismountedAtQuay,CTN_BeingLoaded,CTN_BeingTransportedToGate,AGV_Idling,AGV_Repositioning,AGV_PickingFromQuay,AGV_PendDeliverToYard,AGV_DeliveringToYard,AGV_PendIdleAtYard,AGV_PickingFromYard,AGV_PendDeliverToQuay,AGV_DeliveringToQuay,AGV_PendIdleAtQuay,YC_Idling,YC_Repositioning,YC_RestoringToStack,YC_LiftingToStack,YC_TransportAndStacking,YC_RestoreReshuffleUnst,YC_LiftTransportUnstack,YC_PendingToDrop,YC_DroppingToMount,YA_Idling,YA_BeingOccupied
0001-01-02 00:00:00,0.000001,59.691778,1.200000,59.691779,16.535247,15.791272,7.325633,0.112154,0.000000,0.006519,0.012580,0.050932,0.013318,0.006555,0.012016,0.012887,0.000001,11.289149,0.012579,0.050931,0.013319,0.131471,0.017471,0.009716,0.009882,9.290436,0.000000,7.874324,0.012260,0.036033,0.012381,0.017656,0.000000,0.013218,0.134023,0.078817,0.012016,0.012887,0.000000,0.630066,0.000000,0.057373,0.018833,0.131471,0.024533,0.033412,0.058568,0.134022,0.091009,0.506162,0.000000,0.006549,0.009716,0.009882,0.036033,0.012381,0.017656,0.013217,0.001776,50.162626
0001-01-03 00:00:00,0.000001,14.919378,1.600000,14.919378,19.692581,11.041359,5.360786,0.070643,0.000000,0.006867,0.013124,0.044638,0.012480,0.006957,0.012497,0.013251,0.000001,7.438995,0.013124,0.044637,0.012481,0.131413,0.017304,0.009609,0.009864,17.334262,2697.008522,5.559622,0.014803,0.037810,0.011712,0.032126,0.000001,0.012351,0.134429,0.079123,0.012497,0.013251,0.000000,0.342956,0.000000,0.050021,0.019481,0.131412,0.026022,0.055315,0.053381,0.134428,0.091548,0.350394,0.000000,0.006619,0.009609,0.009864,0.037810,0.011712,0.032101,0.012351,0.002325,34.294523
0001-01-04 00:00:00,0.000001,16.520031,1.714285,16.520031,21.679106,6.040941,6.423171,0.065028,0.000000,0.006903,0.011856,0.023063,0.012925,0.006741,0.012828,0.012771,0.000001,4.224168,0.011855,0.023062,0.012925,0.131015,0.017640,0.010104,0.009396,19.666827,80.767184,8.614533,0.017080,0.035982,0.011792,0.027646,0.000001,0.011646,0.134157,0.077508,0.012828,0.012771,0.000000,0.266994,0.000000,0.025602,0.020855,0.131014,0.027168,0.049593,0.054186,0.134156,0.090389,0.347111,0.000000,0.006555,0.010104,0.009396,0.035982,0.011792,0.026269,0.011646,0.003850,31.433878
0001-01-05 00:00:00,0.000001,21.150177,1.600000,21.150177,25.710469,10.629382,4.872109,0.110328,0.000000,0.006634,0.012942,0.036344,0.012376,0.006774,0.011778,0.012847,0.000001,6.785460,0.012941,0.036343,0.012376,0.131146,0.013603,0.009242,0.009773,30.361465,96.460535,5.886849,0.009071,0.038625,0.012078,0.022555,0.000001,0.011890,0.134779,0.075814,0.011778,0.012846,0.000000,0.559751,0.000000,0.041191,0.019661,0.131146,0.022706,0.039413,0.055091,0.134778,0.087593,0.545916,0.000000,0.007111,0.009242,0.009773,0.038625,0.012078,0.020300,0.011889,0.003111,57.507397
0001-01-06 00:00:00,0.000001,17.483473,1.411764,17.483474,20.580024,10.581452,7.803571,0.066890,0.000000,0.006916,0.012542,0.016455,0.012715,0.006751,0.013062,0.012970,0.000001,11.798225,0.012541,0.016454,0.012715,0.130243,0.021276,0.009428,0.009491,28.729799,24.015779,4.745539,0.015183,0.039477,0.012200,0.019181,0.000001,0.011658,0.132473,0.084085,0.013062,0.012970,0.000000,0.277915,0.000000,0.018029,0.021826,0.130243,0.030392,0.036910,0.060497,0.132473,0.097147,0.327506,0.000000,0.006599,0.009428,0.009491,0.039477,0.012200,0.015963,0.011657,0.001956,37.787379
0001-01-07 00:00:00,0.000001,23.571618,1.200000,23.571619,15.072788,12.745394,6.136149,0.057662,0.000000,0.006661,0.012448,0.040059,0.012798,0.006857,0.012603,0.012520,0.000001,10.548095,0.012448,0.040058,0.012798,0.131612,0.015349,0.009276,0.009934,33.494729,39.129785,3.277214,0.011502,0.037044,0.012272,0.020660,0.000001,0.011824,0.135874,0.078366,0.012603,0.012519,0.000000,0.308292,0.000000,0.045387,0.019275,0.131612,0.024863,0.037264,0.055683,0.135874,0.091058,0.367375,0.000000,0.006681,0.009276,0.009934,0.037044,0.012272,0.018384,0.011823,0.002454,57.956711
0001-01-08 00:00:00,0.000001,21.521596,1.142857,21.521596,12.470654,10.958675,8.113155,0.049789,0.000000,0.006820,0.012792,0.027329,0.013128,0.006812,0.013028,0.012805,0.000001,16.001458,0.012791,0.027326,0.013128,0.131993,0.022427,0.009719,0.009498,15.112766,94.108691,10.805499,0.018131,0.037054,0.011321,0.039077,0.000001,0.011949,0.131750,0.078177,0.013029,0.012805,0.000000,0.192575,0.000000,0.028744,0.021974,0.131992,0.032193,0.066801,0.050777,0.131749,0.091139,0.294849,0.000000,0.006747,0.009719,0.009498,0.037054,0.011321,0.037296,0.011949,0.000889,43.874519
0001-01-09 00:00:00,0.000001,22.389234,1.333333,22.389234,6.148171,9.811182,7.103056,0.021165,0.000000,0.006829,0.012745,0.029459,0.013024,0.006839,0.012572,0.012871,0.000001,29.886624,0.012745,0.029459,0.013025,0.132252,0.024777,0.010021,0.009894,15.765572,32.810224,8.678483,0.022854,0.038261,0.011626,0.022301,0.000001,0.011841,0.133925,0.077952,0.012572,0.012871,0.000000,0.073816,0.000000,0.032850,0.021027,0.132251,0.034496,0.043962,0.063322,0.133924,0.090557,0.202654,0.000000,0.006735,0.010021,0.009894,0.038261,0.011626,0.019885,0.011841,0.002465,57.544565
0001-01-10 00:00:00,0.000001,20.010165,1.411764,20.010166,15.299806,12.284159,7.010187,0.055298,0.000000,0.006995,0.013045,0.030222,0.012964,0.006554,0.012615,0.013051,0.000001,35.402150,0.013044,0.030221,0.012965,0.131544,0.019358,0.009203,0.009711,20.390790,62.248347,10.554955,0.016134,0.036552,0.012090,0.024244,0.000001,0.011693,0.135133,0.079714,0.012615,0.013051,0.000000,0.246352,0.000000,0.033792,0.021278,0.131544,0.028811,0.045594,0.054368,0.135133,0.092293,0.333144,0.000000,0.006657,0.009203,0.009711,0.036552,0.012090,0.022672,0.011692,0.002823,72.976685
0001-01-11 00:00:00,0.000001,18.754812,1.600000,18.754812,20.194347,11.780300,7.052087,0.052174,0.000000,0.006849,0.012620,0.028945,0.012324,0.006766,0.012956,0.012522,0.000001,29.126257,0.012620,0.028945,0.012324,0.130545,0.020494,0.009500,0.009899,44.965021,25.735651,12.347719,0.018726,0.037205,0.011682,0.024065,0.000001,0.011862,0.133919,0.077885,0.012956,0.012522,0.000000,0.221315,0.000000,0.032495,0.020321,0.130544,0.029913,0.046056,0.057822,0.133919,0.090808,0.305626,0.000000,0.006994,0.009500,0.009899,0.037205,0.011682,0.021381,0.011862,0.003252,58.967563
