SimulationTime,VS_Pending,VS_Berthing,WA_Idling,WA_BeingOccupied,QCL_Idling,QCL_Discharging,QCL_Loading,QC_Idling,QC_Repositioning,QC_RestoringToDischarge,QC_LiftAndTransportDisch,QC_PendingToDrop,QC_DroppingToMount,QC_RestoringToLoad,QC_LiftingToLoad,QC_TransportAndLoading,CTN_BeingTransportedToYardFromGate,CTN_PendingToBeDischarged,CTN_BeingDischarged,CTN_PendMountedAtQuay,CTN_BeingMountedAtQuay,CTN_BeingTransportedToYard,CTN_PendDismountedAtYard,CTN_BeingDismountedAtYard,CTN_BeingStacked,CTN_Dwelling,CTN_DwellingForImport,CTN_PendingToAssignAGV,CTN_PendingToAssignYC,CTN_PendingToBeUnstacked,CTN_BeingUnstacked,CTN_PendMountedAtYard,CTN_PendMountForImport,CTN_BeingMountedAtYard,CTN_BeingTransportedToQuay,CTN_PendDismountedAtQuay,CTN_BeingDismountedAtQuay,CTN_BeingLoaded,CTN_BeingTransportedToGate,AGV_Idling,AGV_Repositioning,AGV_PickingFromQuay,AGV_PendDeliverToYard,AGV_DeliveringToYard,AGV_PendIdleAtYard,AGV_PickingFromYard,AGV_PendDeliverToQuay,AGV_DeliveringToQuay,AGV_PendIdleAtQuay,YC_Idling,YC_Repositioning,YC_RestoringToStack,YC_LiftingToStack,YC_TransportAndStacking,YC_RestoreReshuffleUnst,YC_LiftTransportUnstack,YC_PendingToDrop,YC_DroppingToMount,YA_Idling,YA_BeingOccupied
0001-01-02 00:00:00,0.833333,0.166667,0.833333,0.166667,2.791667,1.541667,0.750000,423.916667,0.000000,292.833333,292.500000,292.000000,291.625000,131.000000,130.708333,130.541667,140.041667,292.833333,292.500000,292.000000,291.625000,289.375000,428.666667,428.458333,428.291667,240.875000,0.000000,136.750000,136.250000,135.583333,135.458333,134.541667,0.000000,134.125000,131.875000,131.000000,130.708333,130.541667,0.000000,429.583333,0.000000,292.250000,291.625000,289.375000,288.541667,135.458333,134.125000,131.875000,130.708333,565.208333,0.000000,428.666667,428.458333,428.291667,135.583333,135.458333,134.541667,134.125000,563.125000,135.458333
0001-01-03 00:00:00,0.625000,0.875000,0.625000,0.875000,2.000000,2.041667,2.625000,609.708333,0.000000,292.375000,292.583333,292.250000,292.416667,317.291667,317.583333,317.708333,154.083333,292.375000,292.583333,292.250000,292.416667,293.000000,447.458333,447.583333,447.500000,351.791667,0.250000,313.208333,313.833333,314.333333,314.458333,315.000000,0.250000,315.625000,316.708333,317.291667,317.583333,317.708333,0.250000,605.583333,0.000000,292.041667,292.416667,293.000000,293.458333,314.250000,315.375000,316.708333,317.583333,761.250000,0.000000,447.458333,447.583333,447.500000,314.333333,314.458333,315.250000,315.625000,430.125000,314.458333
0001-01-04 00:00:00,0.583333,0.708333,0.583333,0.708333,1.916667,3.000000,2.541667,704.208333,0.000000,330.333333,330.458333,331.291667,331.458333,373.916667,373.666667,373.500000,32.458333,330.333333,330.458333,331.291667,331.458333,332.625000,365.416667,365.500000,365.750000,311.500000,19.708333,377.291667,396.875000,396.583333,396.458333,376.041667,19.708333,395.541667,374.625000,373.916667,373.666667,373.500000,19.708333,707.625000,0.000000,331.250000,331.458333,332.625000,333.000000,376.083333,375.833333,374.625000,373.666667,762.083333,0.000000,365.416667,365.500000,365.750000,396.583333,396.458333,395.750000,395.541667,259.708333,396.458333
0001-01-05 00:00:00,0.625000,0.500000,0.625000,0.500000,1.916667,1.750000,1.666667,465.375000,0.000000,272.500000,272.416667,272.333333,272.333333,192.833333,192.833333,192.833333,31.666667,272.500000,272.416667,272.333333,272.333333,271.416667,302.666667,302.583333,302.458333,235.458333,21.541667,193.083333,214.541667,213.833333,213.666667,192.375000,21.375000,213.708333,192.666667,192.833333,192.833333,192.833333,21.333333,465.583333,0.000000,272.416667,272.333333,271.416667,270.958333,193.083333,192.375000,192.666667,192.833333,517.250000,0.000000,302.666667,302.583333,302.458333,213.833333,213.666667,213.750000,213.708333,321.458333,213.666667
0001-01-06 00:00:00,0.708333,0.625000,0.708333,0.625000,2.125000,1.666667,1.875000,704.916667,0.000000,362.958333,362.916667,362.541667,362.416667,341.958333,341.958333,342.125000,37.375000,362.958333,362.916667,362.541667,362.416667,362.708333,400.500000,400.458333,400.500000,273.250000,68.708333,340.500000,409.458333,410.000000,410.291667,341.583333,68.875000,410.458333,342.000000,341.958333,341.958333,342.125000,68.916667,703.458333,0.000000,362.500000,362.416667,362.708333,363.083333,341.083333,341.541667,342.000000,341.958333,809.916667,0.000000,400.500000,400.458333,400.500000,410.000000,410.291667,410.458333,410.458333,511.250000,410.291667
0001-01-07 00:00:00,0.833333,0.625000,0.833333,0.625000,2.375000,2.291667,1.791667,666.875000,0.000000,405.708333,405.625000,405.958333,405.833333,261.083333,260.791667,260.500000,42.083333,405.708333,405.625000,405.958333,405.833333,404.041667,445.708333,445.625000,445.416667,317.750000,32.708333,264.416667,296.875000,296.666667,296.458333,264.125000,32.708333,296.958333,262.250000,261.083333,260.791667,260.500000,32.708333,670.083333,0.000000,406.041667,405.833333,404.041667,403.500000,264.708333,264.250000,262.250000,260.791667,742.750000,0.000000,445.708333,445.625000,445.416667,296.666667,296.458333,296.833333,296.958333,407.375000,296.458333
0001-01-08 00:00:00,0.875000,0.708333,0.875000,0.708333,2.791667,2.000000,2.375000,800.708333,0.000000,365.375000,365.250000,364.666667,364.666667,435.166667,435.541667,435.583333,40.708333,365.375000,365.250000,364.666667,364.666667,363.916667,404.750000,404.708333,404.625000,486.125000,20.750000,433.166667,454.000000,454.291667,454.375000,433.625000,20.708333,454.416667,435.000000,435.166667,435.541667,435.583333,20.708333,798.541667,0.000000,364.708333,364.666667,363.916667,364.083333,433.250000,433.708333,435.000000,435.541667,858.541667,0.000000,404.750000,404.708333,404.625000,454.291667,454.375000,454.333333,454.416667,1124.250000,454.375000
0001-01-09 00:00:00,0.750000,0.875000,0.750000,0.875000,2.833333,3.708333,3.125000,1095.125000,0.000000,585.791667,585.916667,586.458333,586.458333,509.416667,509.208333,509.166667,43.000000,585.791667,585.916667,586.458333,586.458333,587.458333,630.375000,630.500000,630.458333,561.250000,62.750000,513.375000,575.250000,574.500000,574.333333,511.875000,62.208333,573.625000,509.750000,509.416667,509.208333,509.166667,62.041667,1099.166667,0.000000,586.416667,586.458333,587.458333,587.375000,512.708333,511.583333,509.750000,509.208333,1205.666667,0.000000,630.375000,630.500000,630.458333,574.500000,574.333333,574.083333,573.625000,405.708333,574.333333
0001-01-10 00:00:00,0.708333,0.708333,0.708333,0.708333,2.416667,1.916667,2.208333,736.500000,0.000000,372.666667,372.666667,372.291667,372.166667,363.875000,364.041667,364.083333,37.458333,372.666667,372.666667,372.291667,372.166667,371.666667,409.125000,409.000000,409.041667,473.833333,24.666667,362.208333,387.333333,387.958333,388.125000,362.416667,25.125000,387.583333,363.041667,363.875000,364.041667,364.083333,25.166667,734.875000,0.000000,372.333333,372.166667,371.666667,371.541667,362.000000,362.416667,363.041667,364.041667,796.500000,0.000000,409.125000,409.000000,409.041667,387.958333,388.125000,387.541667,387.583333,354.208333,388.125000
0001-01-11 00:00:00,0.625000,0.750000,0.625000,0.750000,1.791667,1.958333,2.375000,771.958333,0.000000,379.666667,379.625000,379.875000,379.958333,392.333333,392.500000,392.458333,34.541667,379.666667,379.625000,379.875000,379.958333,380.916667,415.541667,415.583333,415.750000,191.708333,48.875000,388.916667,438.333333,438.375000,438.458333,390.250000,49.000000,439.666667,392.208333,392.333333,392.500000,392.458333,49.125000,768.625000,0.000000,379.833333,379.958333,380.916667,381.083333,389.833333,390.541667,392.208333,392.500000,853.958333,0.000000,415.541667,415.583333,415.750000,438.375000,438.458333,439.250000,439.666667,307.458333,438.458333
