SimulationTime,VS_Pending,VS_Berthing,WA_Idling,WA_BeingOccupied,QCL_Idling,QCL_Discharging,QCL_Loading,QC_Idling,QC_Repositioning,QC_RestoringToDischarge,QC_LiftAndTransportDisch,QC_PendingToDrop,QC_DroppingToMount,QC_RestoringToLoad,QC_LiftingToLoad,QC_TransportAndLoading,CTN_BeingTransportedToYardFromGate,CTN_PendingToBeDischarged,CTN_BeingDischarged,CTN_PendMountedAtQuay,CTN_BeingMountedAtQuay,CTN_BeingTransportedToYard,CTN_PendDismountedAtYard,CTN_BeingDismountedAtYard,CTN_BeingStacked,CTN_Dwelling,CTN_DwellingForImport,CTN_PendingToAssignAGV,CTN_PendingToAssignYC,CTN_PendingToBeUnstacked,CTN_BeingUnstacked,CTN_PendMountedAtYard,CTN_PendMountForImport,CTN_BeingMountedAtYard,CTN_BeingTransportedToQuay,CTN_PendDismountedAtQuay,CTN_BeingDismountedAtQuay,CTN_BeingLoaded,CTN_BeingTransportedToGate,AGV_Idling,AGV_Repositioning,AGV_PickingFromQuay,AGV_PendDeliverToYard,AGV_DeliveringToYard,AGV_PendIdleAtYard,AGV_PickingFromYard,AGV_PendDeliverToQuay,AGV_DeliveringToQuay,AGV_PendIdleAtQuay,YC_Idling,YC_Repositioning,YC_RestoringToStack,YC_LiftingToStack,YC_TransportAndStacking,YC_RestoreReshuffleUnst,YC_LiftTransportUnstack,YC_PendingToDrop,YC_DroppingToMount,YA_Idling,YA_BeingOccupied
0001-01-02 00:00:00,0.833333,0.833333,0.875000,0.833333,3.916667,2.791667,1.541667,425.333333,0.000000,292.875000,292.833333,292.500000,292.000000,131.041667,131.000000,130.708333,140.041667,423.083333,292.833333,292.500000,292.000000,291.625000,429.416667,428.666667,428.458333,411.750000,16.541667,240.875000,136.750000,136.250000,135.583333,135.458333,0.000000,134.541667,134.125000,131.875000,131.000000,130.708333,0.000000,435.083333,0.000000,292.833333,292.250000,291.625000,289.375000,136.750000,135.458333,134.125000,131.875000,575.250000,0.000000,428.958333,428.666667,428.458333,136.250000,135.583333,135.458333,134.541667,563.166667,563.125000
0001-01-03 00:00:00,0.625000,0.625000,0.625000,0.625000,2.625000,2.000000,2.041667,610.125000,0.000000,292.375000,292.375000,292.583333,292.250000,317.333333,317.291667,317.583333,154.083333,276.041667,292.375000,292.583333,292.250000,292.416667,447.083333,447.458333,447.583333,429.000000,18.500000,351.791667,313.458333,313.833333,314.333333,314.208333,0.250000,315.250000,315.375000,316.708333,317.291667,317.583333,0.250000,611.041667,0.000000,292.375000,292.041667,292.416667,293.000000,313.208333,314.250000,315.375000,316.708333,763.125000,0.000000,447.416667,447.458333,447.583333,313.833333,314.333333,314.458333,315.250000,430.125000,430.125000
0001-01-04 00:00:00,0.583333,0.583333,0.583333,0.583333,2.541667,1.916667,3.000000,704.958333,0.000000,330.375000,330.333333,330.458333,331.291667,373.833333,373.916667,373.666667,32.458333,227.250000,330.333333,330.458333,331.291667,331.458333,365.083333,365.416667,365.500000,293.416667,72.333333,311.500000,397.000000,396.875000,396.583333,376.750000,19.708333,395.750000,375.833333,374.625000,373.916667,373.666667,19.708333,706.666667,0.000000,330.333333,331.250000,331.458333,332.625000,377.291667,376.083333,375.833333,374.625000,761.291667,0.000000,365.208333,365.416667,365.500000,396.875000,396.583333,396.458333,395.750000,259.708333,259.708333
0001-01-05 00:00:00,0.625000,0.625000,0.625000,0.625000,1.666667,1.916667,1.750000,465.166667,0.000000,272.500000,272.500000,272.416667,272.333333,192.875000,192.833333,192.833333,31.666667,289.791667,272.500000,272.416667,272.333333,272.333333,303.083333,302.666667,302.583333,269.416667,33.041667,235.458333,214.625000,214.541667,213.833333,192.291667,21.375000,213.750000,192.375000,192.666667,192.833333,192.833333,21.333333,463.791667,0.000000,272.500000,272.416667,272.333333,271.416667,193.083333,193.083333,192.375000,192.666667,516.166667,0.000000,302.708333,302.666667,302.583333,214.541667,213.833333,213.666667,213.750000,321.458333,321.458333
0001-01-06 00:00:00,0.708333,0.708333,0.708333,0.708333,1.875000,2.125000,1.666667,704.541667,0.000000,362.875000,362.958333,362.916667,362.541667,342.041667,341.958333,341.958333,37.375000,473.875000,362.958333,362.916667,362.541667,362.416667,400.083333,400.500000,400.458333,378.083333,22.416667,273.250000,409.208333,409.458333,410.000000,341.416667,68.875000,410.458333,341.541667,342.000000,341.958333,341.958333,68.916667,705.041667,0.000000,362.958333,362.500000,362.416667,362.708333,340.500000,341.083333,341.541667,342.000000,810.958333,0.000000,400.458333,400.500000,400.458333,409.458333,410.000000,410.291667,410.458333,511.250000,511.250000
0001-01-07 00:00:00,0.833333,0.833333,0.833333,0.833333,1.791667,2.375000,2.291667,666.333333,0.000000,405.916667,405.708333,405.625000,405.958333,260.958333,261.083333,260.791667,42.083333,365.291667,405.708333,405.625000,405.958333,405.833333,446.125000,445.708333,445.625000,395.833333,49.583333,317.750000,297.125000,296.875000,296.666667,263.750000,32.708333,296.833333,264.250000,262.250000,261.083333,260.791667,32.708333,664.291667,0.000000,405.666667,406.041667,405.833333,404.041667,264.416667,264.708333,264.250000,262.250000,742.375000,0.000000,445.875000,445.708333,445.625000,296.875000,296.666667,296.458333,296.833333,407.375000,407.375000
0001-01-08 00:00:00,0.875000,0.875000,0.875000,0.875000,2.375000,2.791667,2.000000,800.250000,0.000000,365.458333,365.375000,365.250000,364.666667,435.250000,435.166667,435.541667,40.708333,1083.541667,365.375000,365.250000,364.666667,364.666667,404.625000,404.750000,404.708333,369.250000,35.375000,486.125000,453.916667,454.000000,454.291667,433.666667,20.708333,454.333333,433.708333,435.000000,435.166667,435.541667,20.708333,799.625000,0.000000,365.375000,364.708333,364.666667,363.916667,433.166667,433.250000,433.708333,435.000000,859.041667,0.000000,404.541667,404.750000,404.708333,454.000000,454.291667,454.375000,454.333333,1124.250000,1124.250000
0001-01-09 00:00:00,0.750000,0.750000,0.750000,0.750000,3.125000,2.833333,3.708333,1095.625000,0.000000,585.583333,585.791667,585.916667,586.458333,509.541667,509.416667,509.208333,43.000000,362.708333,585.791667,585.916667,586.458333,586.458333,630.458333,630.375000,630.500000,578.833333,51.625000,561.250000,576.125000,575.250000,574.500000,512.125000,62.208333,574.083333,511.583333,509.750000,509.416667,509.208333,62.041667,1096.583333,0.000000,585.791667,586.416667,586.458333,587.458333,513.375000,512.708333,511.583333,509.750000,1204.083333,0.000000,630.416667,630.375000,630.500000,575.250000,574.500000,574.333333,574.083333,405.708333,405.708333
0001-01-10 00:00:00,0.708333,0.708333,0.708333,0.708333,2.208333,2.416667,1.916667,736.250000,0.000000,372.666667,372.666667,372.666667,372.291667,363.833333,363.875000,364.041667,37.458333,316.750000,372.666667,372.666667,372.291667,372.166667,409.125000,409.125000,409.000000,394.500000,14.541667,473.833333,386.875000,387.333333,387.958333,363.000000,25.125000,387.541667,362.416667,363.041667,363.875000,364.041667,25.166667,735.583333,0.000000,372.666667,372.333333,372.166667,371.666667,362.208333,362.000000,362.416667,363.041667,796.625000,0.000000,409.166667,409.125000,409.000000,387.333333,387.958333,388.125000,387.541667,354.208333,354.208333
0001-01-11 00:00:00,0.625000,0.625000,0.625000,0.625000,2.375000,1.791667,1.958333,772.416667,0.000000,379.791667,379.666667,379.625000,379.875000,392.166667,392.333333,392.500000,34.541667,272.916667,379.666667,379.625000,379.875000,379.958333,415.458333,415.541667,415.583333,383.583333,32.166667,191.708333,437.791667,438.333333,438.375000,389.458333,49.000000,439.250000,390.541667,392.208333,392.333333,392.500000,49.125000,773.583333,0.000000,379.708333,379.833333,379.958333,380.916667,388.916667,389.833333,390.541667,392.208333,855.416667,0.000000,415.625000,415.541667,415.583333,438.333333,438.375000,438.458333,439.250000,307.458333,307.458333
0001-01-12 00:00:00,0.583333,0.583333,0.583333,0.583333,2.250000,2.083333,1.916667,759.000000,0.000000,388.541667,388.583333,388.625000,388.291667,370.416667,370.375000,370.333333,39.583333,272.875000,388.583333,388.625000,388.291667,388.375000,427.708333,427.791667,427.833333,360.625000,67.125000,312.791667,388.291667,388.333333,388.583333,368.458333,20.125000,388.833333,368.708333,369.583333,370.375000,370.333333,20.041667,758.625000,0.000000,388.541667,388.291667,388.375000,388.125000,367.875000,368.291667,368.708333,369.583333,816.500000,0.000000,427.750000,427.791667,427.833333,388.333333,388.583333,388.583333,388.833333,312.458333,312.458333
0001-01-13 00:00:00,0.666667,0.666667,0.666667,0.666667,1.541667,1.708333,2.125000,737.541667,0.000000,417.083333,416.958333,417.041667,417.375000,320.541667,320.458333,320.333333,42.750000,366.041667,416.958333,417.041667,417.375000,417.500000,460.541667,460.416667,460.458333,429.666667,30.958333,338.458333,356.791667,356.708333,356.416667,323.583333,32.625000,355.791667,323.208333,321.250000,320.458333,320.333333,32.708333,738.000000,0.000000,416.958333,417.375000,417.500000,417.791667,324.375000,323.708333,323.208333,321.250000,816.541667,0.000000,460.375000,460.416667,460.458333,356.708333,356.416667,356.208333,355.791667,408.791667,408.791667
0001-01-14 00:00:00,0.791667,0.791667,0.791667,0.791667,2.166667,2.333333,2.500000,818.875000,0.000000,489.333333,489.583333,489.541667,489.625000,329.500000,329.541667,329.541667,41.750000,379.375000,489.583333,489.541667,489.625000,489.500000,530.958333,530.708333,530.708333,495.291667,35.250000,443.333333,397.875000,397.166667,396.625000,330.916667,65.541667,396.208333,330.375000,330.125000,329.541667,329.541667,65.541667,818.583333,0.000000,489.541667,489.666667,489.500000,489.208333,332.250000,331.333333,330.375000,330.125000,926.458333,0.000000,530.708333,530.708333,530.708333,397.166667,396.625000,396.458333,396.208333,421.125000,421.125000
0001-01-15 00:00:00,0.750000,0.750000,0.750000,0.750000,1.958333,2.750000,2.125000,958.791667,0.000000,433.416667,433.250000,433.208333,432.708333,526.333333,526.125000,525.916667,35.916667,1033.958333,433.250000,433.208333,432.708333,432.791667,469.625000,469.625000,469.583333,428.500000,41.208333,599.625000,557.000000,557.125000,557.416667,528.125000,29.291667,557.041667,527.666667,526.416667,526.125000,525.916667,29.291667,959.541667,0.000000,433.333333,432.708333,432.791667,433.708333,527.875000,527.583333,527.666667,526.416667,1026.666667,0.000000,469.666667,469.625000,469.583333,557.125000,557.416667,557.416667,557.041667,1069.875000,1069.875000
0001-01-16 00:00:00,0.916667,0.916667,0.916667,0.916667,3.166667,2.750000,2.750000,1221.875000,0.000000,570.041667,570.125000,570.041667,570.083333,651.333333,651.583333,651.625000,37.583333,434.083333,570.125000,570.041667,570.083333,570.041667,605.041667,605.166667,605.000000,565.375000,39.500000,591.291667,684.125000,684.416667,684.625000,648.500000,36.250000,685.250000,649.291667,650.916667,651.583333,651.625000,36.208333,1218.958333,0.000000,570.000000,570.083333,570.041667,567.458333,647.875000,648.875000,649.291667,650.916667,1290.375000,0.000000,605.041667,605.166667,605.000000,684.416667,684.625000,684.750000,685.250000,471.666667,471.666667
0001-01-17 00:00:00,0.541667,0.541667,0.541667,0.541667,2.666667,2.041667,2.708333,825.166667,0.000000,359.291667,359.333333,359.541667,360.000000,465.250000,465.166667,465.333333,38.208333,239.750000,359.333333,359.541667,360.000000,359.958333,400.833333,400.916667,401.041667,362.333333,38.875000,552.416667,509.916667,510.125000,510.208333,466.333333,44.041667,509.916667,465.625000,465.291667,465.166667,465.333333,44.083333,828.250000,0.000000,359.458333,359.833333,359.958333,362.625000,465.875000,465.125000,465.625000,465.291667,910.916667,0.000000,401.208333,400.916667,401.041667,510.125000,510.208333,510.375000,509.916667,277.958333,277.958333
