SimulationTime,VS_Pending,VS_Berthing,WA_Idling,WA_BeingOccupied,QCL_Idling,QCL_Discharging,QCL_Loading,QC_Idling,QC_Repositioning,QC_RestoringToDischarge,QC_LiftAndTransportDisch,QC_PendingToDrop,QC_DroppingToMount,QC_RestoringToLoad,QC_LiftingToLoad,QC_TransportAndLoading,CTN_BeingTransportedToYardFromGate,CTN_PendingToBeDischarged,CTN_BeingDischarged,CTN_PendMountedAtQuay,CTN_BeingMountedAtQuay,CTN_BeingTransportedToYard,CTN_PendDismountedAtYard,CTN_BeingDismountedAtYard,CTN_BeingStacked,CTN_Dwelling,CTN_DwellingForImport,CTN_PendingToAssignAGV,CTN_PendingToAssignYC,CTN_PendingToBeUnstacked,CTN_BeingUnstacked,CTN_PendMountedAtYard,CTN_PendMountForImport,CTN_BeingMountedAtYard,CTN_BeingTransportedToQuay,CTN_PendDismountedAtQuay,CTN_BeingDismountedAtQuay,CTN_BeingLoaded,CTN_BeingTransportedToGate,AGV_Idling,AGV_Repositioning,AGV_PickingFromQuay,AGV_PendDeliverToYard,AGV_DeliveringToYard,AGV_PendIdleAtYard,AGV_PickingFromYard,AGV_PendDeliverToQuay,AGV_DeliveringToQuay,AGV_PendIdleAtQuay,YC_Idling,YC_Repositioning,YC_RestoringToStack,YC_LiftingToStack,YC_TransportAndStacking,YC_RestoreReshuffleUnst,YC_LiftTransportUnstack,YC_PendingToDrop,YC_DroppingToMount,YA_Idling,YA_BeingOccupied
0001-01-02 00:00:00,0.000000,9.948629,1.000000,9.948630,46.160896,24.344877,5.494224,47.543682,0.000000,0.000081,0.000081,14.872062,0.000081,0.000036,0.000036,0.000036,0.000039,3305.839102,3.679314,14.871726,3.883995,38.044451,7.489031,4.162647,4.232276,2237.833566,0.000000,1076.813753,1.670408,4.885439,1.677095,2.375387,0.000000,1.772802,17.674187,10.325003,1.570537,1.682253,0.000000,270.665867,0.000000,0.000081,5.492195,0.000080,7.078732,0.000038,7.855407,0.000037,11.895649,286.086574,0.000000,0.000119,0.000119,0.000119,0.000038,0.000038,2.375467,0.000037,0.999687,6794.945587
0001-01-03 00:00:00,0.000000,13.054456,1.000000,13.054456,39.385162,22.542774,14.072062,43.071214,0.000000,0.000081,0.000081,13.045242,0.000081,0.000088,0.000088,0.000088,0.000043,2174.975942,3.839757,13.045028,3.649505,38.503895,7.742652,4.300693,4.413822,6098.048656,0.000000,1741.319978,4.645451,11.884996,3.682768,10.119580,0.000000,3.898299,42.574597,25.104849,3.968860,4.209710,0.000000,207.688386,0.000000,0.000081,5.696533,0.000081,7.636271,0.000087,16.834941,0.000088,29.073973,266.737258,0.000000,0.000124,0.000124,0.000124,0.000087,0.000087,10.119767,0.000088,0.999761,10784.198487
0001-01-04 00:00:00,0.000000,11.701688,1.000000,11.701689,41.551618,18.122821,16.325558,45.793310,0.000000,0.000092,0.000092,7.640460,0.000092,0.000104,0.000104,0.000104,0.000009,1395.383571,3.917642,7.640215,4.284102,43.578674,6.445740,3.692825,3.436452,6126.216577,0.000005,3250.191548,6.778615,14.269598,4.675048,10.395767,0.000005,4.606512,50.258351,28.981441,4.793315,4.769690,0.000000,188.931613,0.000000,0.000092,6.912437,0.000092,9.046958,0.000104,20.364818,0.000104,33.775068,264.527619,0.000000,0.000101,0.000102,0.000102,0.000110,0.000110,10.396007,0.000110,0.999856,12462.222700
0001-01-05 00:00:00,0.000000,10.575088,1.000000,10.575088,49.278399,18.601419,8.120180,51.343980,0.000000,0.000076,0.000076,9.897522,0.000076,0.000054,0.000054,0.000054,0.000009,1849.037813,3.525371,9.897338,3.370368,35.595222,4.116942,2.796351,2.955783,7148.859825,0.000006,1136.652279,1.946122,8.259356,2.580694,4.338928,0.000006,2.540843,25.967341,14.619508,2.271196,2.477151,0.000000,260.610451,0.000000,0.000076,5.354378,0.000075,6.152190,0.000054,10.598135,0.000054,16.890864,282.375099,0.000000,0.000084,0.000084,0.000084,0.000059,0.000059,4.339061,0.000059,0.999821,12287.413715
0001-01-06 00:00:00,0.000000,10.927171,1.000000,10.927171,43.732550,17.635753,14.631695,47.151933,0.000000,0.000101,0.000101,5.965415,0.000101,0.000095,0.000095,0.000095,0.000010,4282.263978,4.551322,5.965146,4.608066,47.240225,8.520945,3.775275,3.801223,7850.417357,0.000019,1615.855840,6.216597,16.185283,5.005376,6.551644,0.000019,4.784822,45.305834,28.753319,4.466494,4.437253,0.000000,195.501586,0.000000,0.000101,7.910115,0.000101,11.034769,0.000095,20.662061,0.000095,33.220098,265.252436,0.000000,0.000111,0.000111,0.000111,0.000114,0.000114,6.551906,0.000114,0.999716,15503.846373
0001-01-07 00:00:00,0.000000,14.732261,1.000000,14.732261,35.797871,29.208194,10.993932,38.453472,0.000000,0.000113,0.000113,16.262221,0.000113,0.000073,0.000072,0.000072,0.000012,4279.449964,5.048988,16.261938,5.193820,53.176648,6.841159,4.133575,4.424758,10642.950140,0.000009,866.549888,3.414610,10.989777,3.637937,5.456768,0.000009,3.511069,35.632914,20.460035,3.286792,3.261216,0.000000,206.581235,0.000000,0.000113,7.822330,0.000112,10.032216,0.000074,14.714093,0.000073,23.747045,272.867378,0.000000,0.000124,0.000124,0.000124,0.000082,0.000082,5.456953,0.000082,0.999774,17181.749853
0001-01-08 00:00:00,0.000000,15.244463,1.000000,15.244464,34.813907,21.917349,19.268742,39.866313,0.000000,0.000101,0.000101,9.965754,0.000101,0.000121,0.000121,0.000121,0.000011,5846.532420,4.671904,9.964910,4.787326,48.034255,9.077360,3.933359,3.843121,7346.693351,0.000006,4680.581648,8.231520,16.833167,5.143981,16.944616,0.000006,5.429729,57.311080,34.019880,5.674341,5.577497,0.000000,153.778800,0.000000,0.000101,8.012946,0.000101,11.720731,0.000120,22.022366,0.000121,39.694584,253.140049,0.000000,0.000112,0.000112,0.000112,0.000126,0.000126,16.944891,0.000126,0.999375,19935.484059
0001-01-09 00:00:00,0.000000,19.590580,1.000000,19.590580,17.419816,36.383132,22.197049,23.177734,0.000000,0.000163,0.000163,17.276484,0.000163,0.000141,0.000141,0.000141,0.000012,17507.335276,7.467117,17.276024,7.638475,77.692367,15.618574,6.317999,6.237382,8848.426982,0.000017,4455.315919,13.146805,21.980921,6.677123,11.415016,0.000017,6.792235,68.268058,39.709943,6.401758,6.553334,0.000000,81.135653,0.000000,0.000163,12.331298,0.000163,20.262204,0.000142,32.394415,0.000142,46.112125,244.332269,0.000000,0.000175,0.000175,0.000175,0.000160,0.000160,11.415373,0.000159,0.999775,33049.761836
0001-01-10 00:00:00,0.000000,14.173867,1.000000,14.173867,36.974531,23.544637,15.480830,40.726717,0.000000,0.000103,0.000103,11.251109,0.000103,0.000101,0.000101,0.000101,0.000010,13193.201126,4.861062,11.250747,4.825051,48.890556,7.919576,3.763832,3.971953,9661.835760,0.000007,3823.092471,6.249201,14.180458,4.692222,8.786178,0.000007,4.531771,49.058887,29.005683,4.592318,4.751374,0.000000,181.038035,0.000000,0.000103,7.918775,0.000103,10.704309,0.000101,19.703703,0.000101,33.598304,265.349304,0.000000,0.000114,0.000114,0.000114,0.000108,0.000108,8.786414,0.000108,0.999803,28324.075955
0001-01-11 00:00:00,0.000000,14.066109,1.000000,14.066109,36.181538,23.069754,16.748706,40.276062,0.000000,0.000105,0.000105,10.995546,0.000106,0.000109,0.000109,0.000109,0.000010,11058.268644,4.790860,10.995295,4.682626,49.726513,8.516193,3.948075,4.115208,8620.169046,0.000014,4802.233717,8.208176,16.309699,5.121804,9.391425,0.000014,5.215258,52.524069,30.556700,5.084990,4.914269,0.000000,170.108102,0.000000,0.000105,7.721016,0.000106,11.399341,0.000108,22.581632,0.000109,35.642017,260.991308,0.000000,0.000115,0.000115,0.000115,0.000122,0.000122,9.391697,0.000122,0.999829,25854.819126
