SimulationTime,Vessel_Pending,Vessel_Berthing,WharfAllocation_Idling,WharfAllocation_BeingOccupied,QcLine_Idling,QcLine_Discharging,QcLine_Loading,QC_Idling,QC_Repositioning,QC_RestoringToDischarge,QC_LiftAndTransportDisch,QC_PendingToDrop,QC_DroppingToMount,QC_RestoringToLoad,QC_LiftingToLoad,QC_TransportAndLoading,Container_BeingTransportedToYardFromGate,Container_PendingToBeDischarged,Container_BeingDischarged,Container_PendMountedAtQuay,Container_BeingMountedAtQuay,Container_BeingTransportedToYard,Container_PendDismountedAtYard,Container_BeingDismountedAtYard,Container_BeingStacked,Container_Dwelling,Container_DwellingForImport,Container_PendingToAssignAGV,Container_PendingToAssignYC,Container_PendingToBeUnstacked,Container_BeingUnstacked,Container_PendMountedAtYard,Container_PendMountForImport,Container_BeingMountedAtYard,Container_BeingTransportedToQuay,Container_PendDismountedAtQuay,Container_BeingDismountedAtQuay,Container_BeingLoaded,Container_BeingTransportedToGate,AGV_Idling,AGV_Repositioning,AGV_PickingFromQuay,AGV_PendDeliverToYard,AGV_DeliveringToYard,AGV_PendIdleAtYard,AGV_PickingFromYard,AGV_PendDeliverToQuay,AGV_DeliveringToQuay,AGV_PendIdleAtQuay,YC_Idling,YC_Repositioning,YC_RestoringToStack,YC_LiftingToStack,YC_TransportAndStacking,YC_RestoreReshuffleUnst,YC_LiftTransportUnstack,YC_PendingToDrop,YC_DroppingToMount,YardAllocation_Idling,YardAllocation_BeingOccupied
0001-01-02 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000191,0.000000,2.962425,5.671754,0.000123,5.812479,1.680726,2.860317,3.125897,0.000060,0.000312,0.000123,0.000123,0.000123,0.000123,0.000183,0.000183,0.000183,0.000182,541.018843,0.000091,0.000069,0.000069,0.000069,0.000069,0.000000,0.000068,0.000068,0.000068,0.000067,0.000067,0.000000,0.000198,0.000000,0.000123,0.000123,3.815389,0.000123,29.432840,0.000068,29.113560,0.000068,0.000254,0.000000,4.279450,6.372083,6.472175,8.986568,2.937093,0.000069,3.082341,0.000372,0.000372
0001-01-03 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000304,0.000000,4.054349,7.277653,0.000165,7.490377,3.370855,6.294026,6.490160,0.000070,0.000176,0.000165,0.000165,0.000165,0.000165,0.000235,0.000235,0.000235,0.000235,1818.014326,0.000155,0.000141,0.000141,0.000141,0.000139,0.000001,0.000140,0.000139,0.000139,0.000138,0.000138,0.000001,0.000303,0.000000,0.000165,0.000165,6.518421,0.000165,60.204177,0.000139,60.176906,0.000139,0.000375,0.000000,5.719353,8.227811,8.163396,18.421602,5.971409,0.000141,6.144730,0.000245,0.000245
0001-01-04 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000324,0.000000,4.659583,8.616757,0.000189,8.679529,3.324009,6.206807,6.240125,0.000016,0.000159,0.000189,0.000189,0.000189,0.000189,0.000205,0.000205,0.000205,0.000205,2706.958158,0.000124,0.000150,0.000150,0.000150,0.000135,0.000016,0.000151,0.000135,0.000135,0.000135,0.000135,0.000016,0.000324,0.000000,0.000189,0.000189,4.639987,0.000189,59.539963,0.000135,59.697505,0.000135,0.000355,0.000000,4.904181,6.827917,7.046654,21.104258,6.654819,0.000151,6.318000,0.000176,0.000176
0001-01-05 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000317,0.000000,3.793328,7.267518,0.000158,7.355083,3.848574,7.322418,7.257850,0.000011,0.000144,0.000158,0.000158,0.000158,0.000158,0.000169,0.000169,0.000169,0.000169,3059.622511,0.000246,0.000177,0.000177,0.000176,0.000160,0.000017,0.000176,0.000160,0.000159,0.000159,0.000159,0.000017,0.000317,0.000000,0.000158,0.000158,2.056670,0.000158,69.656877,0.000160,69.352961,0.000159,0.000346,0.000000,4.107044,5.932667,6.008111,24.014336,7.545902,0.000176,7.433060,0.000155,0.000155
0001-01-06 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000385,0.000000,4.203507,7.814143,0.000171,7.986431,5.263170,9.818411,9.907466,0.000012,0.000135,0.000171,0.000171,0.000171,0.000171,0.000183,0.000183,0.000183,0.000183,2886.585711,0.000173,0.000230,0.000230,0.000230,0.000213,0.000017,0.000230,0.000213,0.000214,0.000213,0.000214,0.000017,0.000385,0.000000,0.000171,0.000171,2.780032,0.000171,93.825953,0.000214,93.907701,0.000214,0.000413,0.000000,4.439584,6.505163,6.487591,31.338340,9.559859,0.000230,9.920981,0.000147,0.000147
0001-01-07 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000328,0.000000,4.630210,8.634669,0.000187,8.503169,3.348370,6.393800,6.574949,0.000014,0.000153,0.000187,0.000187,0.000187,0.000187,0.000201,0.000201,0.000201,0.000201,2460.321396,0.000099,0.000161,0.000162,0.000162,0.000140,0.000022,0.000162,0.000140,0.000141,0.000141,0.000141,0.000022,0.000328,0.000000,0.000187,0.000187,2.361256,0.000187,61.713081,0.000140,62.166983,0.000141,0.000363,0.000000,4.957676,6.823469,7.106177,21.464676,6.944209,0.000162,6.810202,0.000167,0.000167
0001-01-08 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000258,0.000000,3.346864,5.771727,0.000133,5.992404,2.944077,5.769658,5.602927,0.000015,0.000141,0.000134,0.000133,0.000133,0.000133,0.000149,0.000149,0.000149,0.000148,2142.510752,0.000155,0.000139,0.000139,0.000139,0.000124,0.000014,0.000139,0.000124,0.000124,0.000124,0.000124,0.000014,0.000257,0.000000,0.000133,0.000133,1.265779,0.000133,53.953460,0.000125,53.854567,0.000124,0.000287,0.000000,3.498728,5.255401,5.237635,18.817518,5.839992,0.000139,5.993024,0.000157,0.000157
0001-01-09 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000311,0.000000,3.795414,7.322935,0.000157,7.309674,3.662713,7.065513,6.969167,0.000014,0.000287,0.000157,0.000157,0.000157,0.000157,0.000170,0.000170,0.000170,0.000170,1840.927273,0.000142,0.000167,0.000167,0.000167,0.000156,0.000011,0.000167,0.000155,0.000155,0.000154,0.000154,0.000012,0.000311,0.000000,0.000157,0.000157,1.700261,0.000157,67.918646,0.000155,67.533290,0.000155,0.000337,0.000000,4.104080,5.835737,6.029449,22.738007,7.237389,0.000167,7.080324,0.000301,0.000301
0001-01-10 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000385,0.000000,4.934930,9.457075,0.000205,9.157563,4.478310,8.475017,8.385374,0.000018,0.000146,0.000205,0.000205,0.000205,0.000205,0.000223,0.000223,0.000223,0.000223,2195.790316,0.000201,0.000192,0.000192,0.000192,0.000180,0.000012,0.000192,0.000180,0.000180,0.000180,0.000180,0.000012,0.000385,0.000000,0.000205,0.000205,2.604976,0.000205,79.119157,0.000180,79.215529,0.000180,0.000415,0.000000,5.411641,7.770972,7.922843,25.854227,8.155770,0.000192,8.066019,0.000163,0.000163
0001-01-11 00:00:00,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000397,0.000000,6.515284,12.010960,0.000271,12.377268,3.001001,5.901803,5.850824,0.000018,0.000188,0.000271,0.000271,0.000271,0.000271,0.000288,0.000289,0.000289,0.000289,2476.994821,0.000144,0.000140,0.000140,0.000140,0.000125,0.000015,0.000140,0.000125,0.000126,0.000126,0.000126,0.000015,0.000397,0.000000,0.000271,0.000271,3.349888,0.000271,53.834322,0.000125,54.220820,0.000126,0.000429,0.000000,7.075516,10.052408,10.043808,18.242512,5.917430,0.000140,6.137088,0.000205,0.000205
