SimulationTime,Vessel_Pending,Vessel_Berthing,WharfAllocation_Idling,WharfAllocation_BeingOccupied,QcLine_Idling,QcLine_Discharging,QcLine_Loading,QC_Idling,QC_Repositioning,QC_RestoringToDischarge,QC_LiftAndTransportDisch,QC_PendingToDrop,QC_DroppingToMount,QC_RestoringToLoad,QC_LiftingToLoad,QC_TransportAndLoading,Container_BeingTransportedToYardFromGate,Container_PendingToBeDischarged,Container_BeingDischarged,Container_PendMountedAtQuay,Container_BeingMountedAtQuay,Container_BeingTransportedToYard,Container_PendDismountedAtYard,Container_BeingDismountedAtYard,Container_BeingStacked,Container_Dwelling,Container_DwellingForImport,Container_PendingToAssignAGV,Container_PendingToAssignYC,Container_PendingToBeUnstacked,Container_BeingUnstacked,Container_PendMountedAtYard,Container_PendMountForImport,Container_BeingMountedAtYard,Container_BeingTransportedToQuay,Container_PendDismountedAtQuay,Container_BeingDismountedAtQuay,Container_BeingLoaded,Container_BeingTransportedToGate,AGV_Idling,AGV_Repositioning,AGV_PickingFromQuay,AGV_PendDeliverToYard,AGV_DeliveringToYard,AGV_PendIdleAtYard,AGV_PickingFromYard,AGV_PendDeliverToQuay,AGV_DeliveringToQuay,AGV_PendIdleAtQuay,YC_Idling,YC_Repositioning,YC_RestoringToStack,YC_LiftingToStack,YC_TransportAndStacking,YC_RestoreReshuffleUnst,YC_LiftTransportUnstack,YC_PendingToDrop,YC_DroppingToMount,YardAllocation_Idling,YardAllocation_BeingOccupied
0001-01-02 00:00:00,0.000001,18.901060,0.888889,18.901061,13.805089,5.178173,5.412149,0.078477,0.000000,0.006677,0.012794,0.000019,0.013122,0.006929,0.011797,0.012899,0.000001,19.537868,0.012793,0.000013,0.013123,0.008618,0.023548,0.009698,0.009855,10.744436,0.000000,6.241737,0.021185,0.036346,0.011891,0.077169,0.000000,0.012541,0.119421,0.063584,0.011797,0.012899,0.000000,0.854427,0.000000,0.000001,0.013123,0.008617,0.030033,0.119423,0.039955,0.119420,0.075415,0.283896,0.000000,0.006513,0.009698,0.009855,0.036346,0.011891,0.077170,0.012541,0.000746,55.835081
0001-01-03 00:00:00,0.000001,15.700241,1.043478,15.700242,9.097539,5.387551,8.273367,0.037478,0.000000,0.006814,0.012232,0.000056,0.012586,0.006765,0.012639,0.013036,0.000001,28.318236,0.012232,0.000054,0.012586,0.010956,0.033676,0.009741,0.009665,17.818021,338.235224,6.620812,0.036158,0.036398,0.011799,0.071647,0.000001,0.012170,0.120606,0.065588,0.012639,0.013036,0.000000,0.434712,0.000000,0.000001,0.012587,0.010956,0.042788,0.120288,0.047905,0.120605,0.078265,0.162355,0.000000,0.006770,0.009741,0.009665,0.036398,0.011799,0.070961,0.012169,0.001131,59.704099
0001-01-04 00:00:00,0.000001,16.793361,1.090909,16.793361,9.311953,7.038989,6.864380,0.032789,0.000000,0.006864,0.012696,0.000059,0.012790,0.006820,0.012730,0.012794,0.000001,22.850769,0.012696,0.000058,0.012791,0.006837,0.036942,0.009260,0.009558,41.191499,48.159374,6.158398,0.040267,0.038953,0.012281,0.072389,0.000001,0.011650,0.122646,0.063666,0.012730,0.012794,0.000000,0.406748,0.000000,0.000001,0.012791,0.006837,0.046086,0.122427,0.052575,0.122645,0.076375,0.172003,0.000000,0.006651,0.009260,0.009558,0.038953,0.012281,0.064868,0.011649,0.001581,66.811439
0001-01-05 00:00:00,0.000001,16.987780,0.800000,16.987780,8.474032,4.706716,8.477897,0.034316,0.000000,0.006673,0.012776,0.000031,0.012934,0.006731,0.012813,0.012706,0.000001,21.968302,0.012775,0.000030,0.012935,0.003617,0.037911,0.009731,0.009851,22.096394,50.887693,10.158717,0.040972,0.037798,0.011886,0.071189,0.000001,0.011724,0.121185,0.063809,0.012813,0.012706,0.000000,0.393566,0.000000,0.000001,0.012935,0.003616,0.047457,0.121239,0.052211,0.121185,0.076659,0.170268,0.000000,0.006736,0.009731,0.009851,0.037798,0.011886,0.064490,0.011724,0.001788,56.762961
0001-01-06 00:00:00,0.000001,18.100119,1.043478,18.100119,5.643279,5.937159,11.215889,0.022375,0.000000,0.006828,0.012691,0.000053,0.012968,0.006848,0.012773,0.012887,0.000001,18.477802,0.012690,0.000052,0.012968,0.004514,0.044287,0.009865,0.009837,26.094965,47.646532,9.555676,0.053476,0.037847,0.011544,0.065971,0.000001,0.011979,0.122164,0.062979,0.012773,0.012887,0.000000,0.263401,0.000000,0.000001,0.012969,0.004514,0.054327,0.122037,0.058940,0.122163,0.075742,0.127112,0.000000,0.006733,0.009865,0.009837,0.037847,0.011544,0.061157,0.011979,0.001895,37.999883
0001-01-07 00:00:00,0.000001,13.216872,1.142857,13.216872,9.190069,6.297786,5.600457,0.032098,0.000000,0.006874,0.012818,0.000016,0.012618,0.006600,0.012595,0.012949,0.000001,16.452572,0.012818,0.000015,0.012618,0.003505,0.036175,0.009416,0.009807,58.624965,31.458558,5.862884,0.040740,0.036879,0.011926,0.071998,0.000001,0.011674,0.122739,0.062034,0.012595,0.012949,0.000000,0.400627,0.000000,0.000001,0.012619,0.003504,0.045700,0.122690,0.051329,0.122739,0.074589,0.166584,0.000000,0.006844,0.009416,0.009807,0.036879,0.011926,0.062274,0.011673,0.001667,51.068739
0001-01-08 00:00:00,0.000001,16.174531,1.000000,16.174531,11.819327,5.184173,7.518543,0.050166,0.000000,0.006963,0.012014,0.000018,0.012480,0.006579,0.012897,0.012525,0.000001,16.502460,0.012014,0.000017,0.012481,0.002637,0.030688,0.009830,0.009798,45.442707,41.434535,5.585322,0.030487,0.037654,0.011688,0.073177,0.000001,0.012003,0.120268,0.063796,0.012897,0.012525,0.000000,0.550455,0.000000,0.000001,0.012481,0.002636,0.040432,0.120365,0.044593,0.120267,0.076717,0.222895,0.000000,0.006540,0.009830,0.009798,0.037654,0.011688,0.065611,0.012002,0.001774,58.485607
0001-01-09 00:00:00,0.000001,17.895011,1.000000,17.895012,9.428122,5.901790,11.167440,0.035581,0.000000,0.006728,0.012980,0.000025,0.012957,0.006591,0.012718,0.012546,0.000001,20.681422,0.012980,0.000022,0.012957,0.003014,0.036277,0.009537,0.009857,45.221841,45.037976,11.308018,0.039315,0.037816,0.012035,0.071066,0.000001,0.011794,0.121282,0.063252,0.012718,0.012546,0.000000,0.407877,0.000000,0.000001,0.012958,0.003014,0.045557,0.121347,0.051016,0.121281,0.075984,0.177374,0.000000,0.006708,0.009537,0.009857,0.037816,0.012035,0.066173,0.011793,0.000923,55.133589
0001-01-10 00:00:00,0.000001,21.677926,1.043478,21.677926,6.629801,7.164267,9.509849,0.022426,0.000000,0.006681,0.012801,0.000043,0.012398,0.006917,0.013089,0.012949,0.000001,23.637368,0.012801,0.000042,0.012398,0.003527,0.041295,0.009676,0.009864,38.048278,50.574825,8.747492,0.048537,0.037497,0.011827,0.069160,0.000001,0.011694,0.122539,0.064973,0.013089,0.012949,0.000000,0.292470,0.000000,0.000001,0.012399,0.003527,0.051213,0.122436,0.056244,0.122538,0.078058,0.134059,0.000000,0.006739,0.009676,0.009864,0.037497,0.011827,0.064828,0.011693,0.001700,60.561470
0001-01-11 00:00:00,0.000001,17.808714,1.000000,17.808714,8.331946,11.594369,6.234762,0.021248,0.000000,0.006688,0.012331,0.000014,0.012706,0.006621,0.013017,0.012899,0.000001,12.904237,0.012331,0.000013,0.012707,0.003440,0.033148,0.009676,0.009668,69.195347,45.104610,13.390767,0.038777,0.036130,0.011718,0.072368,0.000001,0.012134,0.119760,0.063863,0.013017,0.012899,0.000000,0.335247,0.000000,0.000001,0.012707,0.003439,0.042655,0.119765,0.051448,0.119759,0.076857,0.141200,0.000000,0.006810,0.009676,0.009668,0.036130,0.011718,0.064479,0.012134,0.001352,88.108674
