SimulationTime,Vessel_Pending,Vessel_Berthing,WharfAllocation_Idling,WharfAllocation_BeingOccupied,QcLine_Idling,QcLine_Discharging,QcLine_Loading,QC_Idling,QC_Repositioning,QC_RestoringToDischarge,QC_LiftAndTransportDisch,QC_PendingToDrop,QC_DroppingToMount,QC_RestoringToLoad,QC_LiftingToLoad,QC_TransportAndLoading,Container_BeingTransportedToYardFromGate,Container_PendingToBeDischarged,Container_BeingDischarged,Container_PendMountedAtQuay,Container_BeingMountedAtQuay,Container_BeingTransportedToYard,Container_PendDismountedAtYard,Container_BeingDismountedAtYard,Container_BeingStacked,Container_Dwelling,Container_DwellingForImport,Container_PendingToAssignAGV,Container_PendingToAssignYC,Container_PendingToBeUnstacked,Container_BeingUnstacked,Container_PendMountedAtYard,Container_PendMountForImport,Container_BeingMountedAtYard,Container_BeingTransportedToQuay,Container_PendDismountedAtQuay,Container_BeingDismountedAtQuay,Container_BeingLoaded,Container_BeingTransportedToGate,AGV_Idling,AGV_Repositioning,AGV_PickingFromQuay,AGV_PendDeliverToYard,AGV_DeliveringToYard,AGV_PendIdleAtYard,AGV_PickingFromYard,AGV_PendDeliverToQuay,AGV_DeliveringToQuay,AGV_PendIdleAtQuay,YC_Idling,YC_Repositioning,YC_RestoringToStack,YC_LiftingToStack,YC_TransportAndStacking,YC_RestoreReshuffleUnst,YC_LiftTransportUnstack,YC_PendingToDrop,YC_DroppingToMount,YardAllocation_Idling,YardAllocation_BeingOccupied
0001-01-02 00:00:00,1.125000,0.541667,1.125000,0.541667,3.625000,2.791667,2.125000,686.541667,0.000000,443.708333,443.333333,443.333333,442.958333,242.583333,242.458333,242.333333,215.166667,443.708333,443.333333,443.333333,442.958333,442.791667,657.125000,657.083333,656.791667,327.708333,0.000000,247.708333,247.541667,247.250000,247.000000,246.250000,0.000000,245.791667,243.791667,242.583333,242.458333,242.333333,0.000000,691.041667,0.000000,443.333333,442.958333,442.791667,442.000000,246.458333,245.791667,243.791667,242.458333,904.791667,0.000000,657.125000,657.083333,656.791667,247.250000,247.000000,246.250000,245.791667,1339.916667,247.000000
0001-01-03 00:00:00,0.958333,0.875000,0.958333,0.875000,3.666667,3.500000,2.875000,1093.666667,0.000000,595.041667,594.958333,594.958333,595.166667,498.291667,498.000000,497.875000,250.416667,595.041667,594.958333,594.958333,595.166667,595.000000,844.875000,844.708333,844.666667,557.458333,5.375000,502.875000,507.041667,506.125000,506.125000,500.041667,4.833333,504.958333,498.958333,498.291667,498.000000,497.875000,4.791667,1097.833333,0.000000,594.958333,595.166667,595.000000,594.333333,500.500000,500.166667,498.958333,498.000000,1352.125000,0.000000,844.875000,844.708333,844.666667,506.125000,506.125000,504.875000,504.958333,883.708333,506.125000
0001-01-04 00:00:00,0.916667,0.916667,0.916667,0.916667,3.250000,3.125000,3.458333,1166.000000,0.000000,678.916667,678.708333,678.708333,678.625000,487.416667,487.583333,487.750000,58.625000,678.916667,678.708333,678.708333,678.625000,678.708333,737.375000,737.375000,737.291667,444.875000,56.208333,485.083333,541.541667,541.791667,541.875000,485.875000,56.333333,542.375000,486.750000,487.416667,487.583333,487.750000,56.375000,1163.791667,0.000000,678.708333,678.625000,678.708333,678.750000,486.333333,486.000000,486.750000,487.583333,1278.875000,0.000000,737.375000,737.375000,737.291667,541.791667,541.875000,542.208333,542.375000,632.541667,541.875000
0001-01-05 00:00:00,1.250000,1.000000,1.250000,1.000000,3.541667,3.916667,3.250000,1140.458333,0.000000,568.500000,568.875000,568.875000,568.666667,571.833333,571.500000,571.208333,40.625000,568.500000,568.875000,568.875000,568.666667,568.791667,609.750000,609.666667,609.916667,886.541667,60.125000,576.458333,635.791667,635.333333,634.875000,574.666667,59.708333,634.041667,572.291667,571.833333,571.500000,571.208333,59.541667,1145.333333,0.000000,568.875000,568.666667,568.791667,569.083333,574.541667,574.500000,572.291667,571.500000,1245.375000,0.000000,609.750000,609.666667,609.916667,635.333333,634.875000,634.375000,634.041667,559.125000,634.875000
0001-01-06 00:00:00,0.958333,1.125000,0.958333,1.125000,3.291667,3.375000,3.333333,1384.250000,0.000000,615.625000,615.750000,615.750000,615.875000,768.583333,768.708333,768.791667,43.250000,615.625000,615.750000,615.750000,615.875000,615.916667,659.416667,659.416667,659.500000,623.750000,60.583333,768.291667,828.125000,828.041667,828.125000,767.958333,60.458333,828.250000,768.708333,768.583333,768.708333,768.791667,60.500000,1384.041667,0.000000,615.750000,615.875000,615.916667,616.000000,768.833333,767.750000,768.708333,768.708333,1487.541667,0.000000,659.416667,659.416667,659.500000,828.041667,828.125000,828.416667,828.250000,527.625000,828.125000
0001-01-07 00:00:00,0.875000,1.208333,0.875000,1.208333,3.208333,3.458333,4.416667,1180.875000,0.000000,673.625000,673.666667,673.666667,673.916667,507.333333,507.666667,507.750000,50.416667,673.625000,673.666667,673.666667,673.916667,673.875000,724.458333,724.708333,724.625000,357.916667,78.208333,501.166667,581.708333,582.041667,582.291667,504.250000,78.750000,583.416667,506.500000,507.333333,507.666667,507.750000,78.791667,1174.833333,0.000000,673.666667,673.916667,673.875000,674.291667,503.000000,504.625000,506.500000,507.666667,1306.166667,0.000000,724.458333,724.708333,724.625000,582.041667,582.291667,583.000000,583.416667,599.750000,582.291667
0001-01-08 00:00:00,1.000000,0.833333,1.000000,0.833333,3.375000,2.916667,2.791667,928.166667,0.000000,480.708333,480.416667,480.416667,480.166667,447.541667,447.375000,447.333333,55.291667,480.708333,480.416667,480.416667,480.166667,480.166667,534.958333,534.666667,534.583333,559.791667,51.708333,448.375000,499.416667,499.750000,499.666667,447.958333,51.666667,499.333333,447.791667,447.541667,447.375000,447.333333,51.666667,928.791667,0.000000,480.416667,480.166667,480.166667,479.583333,448.250000,447.666667,447.791667,447.375000,1034.458333,0.000000,534.958333,534.666667,534.583333,499.750000,499.666667,499.625000,499.333333,563.750000,499.666667
0001-01-09 00:00:00,1.000000,0.875000,1.000000,0.875000,3.291667,3.125000,2.375000,1120.250000,0.000000,564.125000,564.166667,564.166667,564.166667,555.708333,555.583333,555.500000,48.750000,564.125000,564.166667,564.166667,564.166667,564.250000,611.875000,611.916667,611.708333,509.750000,40.875000,561.541667,601.750000,601.291667,601.375000,558.958333,41.333333,600.375000,556.833333,555.708333,555.583333,555.500000,41.416667,1125.708333,0.000000,564.166667,564.166667,564.250000,563.125000,559.708333,558.958333,556.833333,555.583333,1213.541667,0.000000,611.875000,611.916667,611.708333,601.291667,601.375000,600.291667,600.375000,1083.166667,601.375000
0001-01-10 00:00:00,0.958333,0.833333,0.958333,0.833333,3.125000,3.291667,3.333333,1385.875000,0.000000,738.708333,738.791667,738.791667,738.666667,647.458333,647.500000,647.583333,63.666667,738.708333,738.791667,738.791667,738.666667,738.666667,803.041667,803.166667,803.208333,723.291667,43.416667,646.375000,689.666667,689.500000,689.583333,646.500000,43.208333,689.833333,646.458333,647.458333,647.500000,647.583333,43.166667,1385.166667,0.000000,738.791667,738.666667,738.666667,739.416667,646.208333,646.666667,646.458333,647.500000,1492.666667,0.000000,803.041667,803.166667,803.208333,689.500000,689.583333,689.708333,689.833333,588.041667,689.583333
0001-01-11 00:00:00,1.000000,1.083333,1.000000,1.083333,2.791667,2.666667,3.500000,1427.333333,0.000000,974.166667,974.083333,974.083333,974.125000,453.250000,453.416667,453.583333,64.333333,974.166667,974.083333,974.083333,974.125000,974.166667,1039.041667,1038.916667,1038.916667,518.250000,54.916667,447.583333,504.125000,504.916667,505.000000,450.541667,55.125000,505.791667,452.750000,453.250000,453.416667,453.583333,55.166667,1421.666667,0.000000,974.083333,974.125000,974.166667,974.666667,449.500000,450.625000,452.750000,453.416667,1543.375000,0.000000,1039.041667,1038.916667,1038.916667,504.916667,505.000000,505.666667,505.791667,739.583333,505.000000
