SimulationTime,Vessel_Pending,Vessel_Berthing,WharfAllocation_Idling,WharfAllocation_BeingOccupied,QcLine_Idling,QcLine_Discharging,QcLine_Loading,QC_Idling,QC_Repositioning,QC_RestoringToDischarge,QC_LiftAndTransportDisch,QC_PendingToDrop,QC_DroppingToMount,QC_RestoringToLoad,QC_LiftingToLoad,QC_TransportAndLoading,Container_BeingTransportedToYardFromGate,Container_PendingToBeDischarged,Container_BeingDischarged,Container_PendMountedAtQuay,Container_BeingMountedAtQuay,Container_BeingTransportedToYard,Container_PendDismountedAtYard,Container_BeingDismountedAtYard,Container_BeingStacked,Container_Dwelling,Container_DwellingForImport,Container_PendingToAssignAGV,Container_PendingToAssignYC,Container_PendingToBeUnstacked,Container_BeingUnstacked,Container_PendMountedAtYard,Container_PendMountForImport,Container_BeingMountedAtYard,Container_BeingTransportedToQuay,Container_PendDismountedAtQuay,Container_BeingDismountedAtQuay,Container_BeingLoaded,Container_BeingTransportedToGate,AGV_Idling,AGV_Repositioning,AGV_PickingFromQuay,AGV_PendDeliverToYard,AGV_DeliveringToYard,AGV_PendIdleAtYard,AGV_PickingFromYard,AGV_PendDeliverToQuay,AGV_DeliveringToQuay,AGV_PendIdleAtQuay,YC_Idling,YC_Repositioning,YC_RestoringToStack,YC_LiftingToStack,YC_TransportAndStacking,YC_RestoreReshuffleUnst,YC_LiftTransportUnstack,YC_PendingToDrop,YC_DroppingToMount,YardAllocation_Idling,YardAllocation_BeingOccupied
0001-01-02 00:00:00,1.125000,1.125000,1.166667,1.125000,5.291667,3.625000,2.791667,688.458333,0.000000,443.791667,443.708333,443.333333,443.333333,242.750000,242.583333,242.458333,215.166667,1124.750000,443.708333,443.333333,443.333333,442.958333,657.958333,657.125000,657.083333,656.791667,51.083333,327.708333,247.708333,247.541667,247.250000,247.000000,0.000000,246.250000,245.791667,243.791667,242.583333,242.458333,0.000000,713.625000,0.000000,443.333333,443.333333,442.958333,442.791667,247.708333,246.458333,245.791667,243.791667,915.416667,0.000000,657.250000,657.125000,657.083333,247.541667,247.250000,247.000000,246.250000,1339.958333,1339.916667
0001-01-03 00:00:00,0.958333,0.958333,0.958333,0.958333,2.875000,3.666667,3.500000,1093.041667,0.000000,595.333333,595.041667,594.958333,594.958333,498.333333,498.291667,498.000000,250.416667,633.291667,595.041667,594.958333,594.958333,595.166667,845.416667,844.875000,844.708333,844.666667,48.166667,557.458333,508.250000,507.041667,506.125000,501.291667,4.833333,504.875000,500.166667,498.958333,498.291667,498.000000,4.791667,1092.333333,0.000000,594.958333,594.958333,595.166667,595.000000,502.875000,500.500000,500.166667,498.958333,1349.625000,0.000000,845.083333,844.875000,844.708333,507.041667,506.125000,506.125000,504.875000,883.708333,883.708333
0001-01-04 00:00:00,0.916667,0.916667,0.916667,0.916667,3.458333,3.250000,3.125000,1166.375000,0.000000,678.750000,678.916667,678.708333,678.708333,487.250000,487.416667,487.583333,58.625000,573.916667,678.916667,678.708333,678.708333,678.625000,737.333333,737.375000,737.375000,737.291667,62.375000,444.875000,541.291667,541.541667,541.791667,485.541667,56.333333,542.208333,486.000000,486.750000,487.416667,487.583333,56.375000,1166.333333,0.000000,678.708333,678.708333,678.625000,678.708333,485.083333,486.333333,486.000000,486.750000,1279.666667,0.000000,737.333333,737.375000,737.375000,541.541667,541.791667,541.875000,542.208333,632.541667,632.541667
0001-01-05 00:00:00,1.250000,1.250000,1.250000,1.250000,3.250000,3.541667,3.916667,1139.875000,0.000000,568.291667,568.500000,568.875000,568.875000,572.166667,571.833333,571.500000,40.625000,518.500000,568.500000,568.875000,568.875000,568.666667,609.416667,609.750000,609.666667,609.916667,94.041667,886.541667,636.583333,635.791667,635.333333,575.166667,59.708333,634.375000,574.500000,572.291667,571.833333,571.500000,59.541667,1140.583333,0.000000,568.875000,568.875000,568.666667,568.791667,576.458333,574.541667,574.500000,572.291667,1243.958333,0.000000,609.583333,609.750000,609.666667,635.791667,635.333333,634.875000,634.375000,559.125000,559.125000
0001-01-06 00:00:00,0.958333,0.958333,0.958333,0.958333,3.333333,3.291667,3.375000,1384.666667,0.000000,615.791667,615.625000,615.750000,615.750000,768.458333,768.583333,768.708333,43.250000,484.375000,615.625000,615.750000,615.750000,615.875000,659.166667,659.416667,659.416667,659.500000,45.750000,623.750000,828.875000,828.125000,828.041667,767.666667,60.458333,828.416667,767.750000,768.708333,768.583333,768.708333,60.500000,1384.708333,0.000000,615.750000,615.750000,615.875000,615.916667,768.291667,768.833333,767.750000,768.708333,1487.750000,0.000000,659.416667,659.416667,659.416667,828.125000,828.041667,828.125000,828.416667,527.625000,527.625000
0001-01-07 00:00:00,0.875000,0.875000,0.875000,0.875000,4.416667,3.208333,3.458333,1181.666667,0.000000,673.666667,673.625000,673.666667,673.666667,507.208333,507.333333,507.666667,50.416667,549.333333,673.625000,673.666667,673.666667,673.916667,724.291667,724.458333,724.708333,724.625000,50.250000,357.916667,579.375000,581.708333,582.041667,503.541667,78.750000,583.000000,504.625000,506.500000,507.333333,507.666667,78.791667,1181.958333,0.000000,673.666667,673.666667,673.916667,673.875000,501.166667,503.000000,504.625000,506.500000,1308.041667,0.000000,724.458333,724.458333,724.708333,581.708333,582.041667,582.291667,583.000000,599.750000,599.750000
0001-01-08 00:00:00,1.000000,1.000000,1.000000,1.000000,2.791667,3.375000,2.916667,927.500000,0.000000,480.625000,480.708333,480.416667,480.416667,447.541667,447.541667,447.375000,55.291667,508.458333,480.708333,480.416667,480.416667,480.166667,535.458333,534.958333,534.666667,534.583333,36.958333,559.791667,500.083333,499.416667,499.750000,448.000000,51.666667,499.625000,447.666667,447.791667,447.541667,447.375000,51.666667,926.958333,0.000000,480.416667,480.416667,480.166667,480.166667,448.375000,448.250000,447.666667,447.791667,1033.916667,0.000000,535.041667,534.958333,534.666667,499.416667,499.750000,499.666667,499.625000,563.750000,563.750000
0001-01-09 00:00:00,1.000000,1.000000,1.000000,1.000000,2.375000,3.291667,3.125000,1119.666667,0.000000,564.333333,564.125000,564.166667,564.166667,555.916667,555.708333,555.583333,48.750000,1034.416667,564.125000,564.166667,564.166667,564.166667,613.000000,611.875000,611.916667,611.708333,51.750000,509.750000,602.416667,601.750000,601.291667,560.041667,41.333333,600.291667,558.958333,556.833333,555.708333,555.583333,41.416667,1118.708333,0.000000,564.166667,564.166667,564.166667,564.250000,561.541667,559.708333,558.958333,556.833333,1212.083333,0.000000,611.791667,611.875000,611.916667,601.750000,601.291667,601.375000,600.291667,1083.166667,1083.166667
0001-01-10 00:00:00,0.958333,0.958333,0.958333,0.958333,3.333333,3.125000,3.291667,1386.250000,0.000000,738.500000,738.708333,738.791667,738.791667,647.375000,647.458333,647.500000,63.666667,524.375000,738.708333,738.791667,738.791667,738.666667,802.333333,803.041667,803.166667,803.208333,50.333333,723.291667,689.791667,689.666667,689.500000,646.375000,43.208333,689.708333,646.666667,646.458333,647.458333,647.500000,43.166667,1386.916667,0.000000,738.791667,738.791667,738.666667,738.666667,646.375000,646.208333,646.666667,646.458333,1493.041667,0.000000,803.000000,803.041667,803.166667,689.666667,689.500000,689.583333,689.708333,588.041667,588.041667
0001-01-11 00:00:00,1.000000,1.000000,1.000000,1.000000,3.500000,2.791667,2.666667,1427.708333,0.000000,974.250000,974.166667,974.083333,974.083333,453.083333,453.250000,453.416667,64.333333,675.250000,974.166667,974.083333,974.083333,974.125000,1038.500000,1039.041667,1038.916667,1038.916667,64.625000,518.250000,502.500000,504.125000,504.916667,449.875000,55.125000,505.666667,450.625000,452.750000,453.250000,453.416667,55.166667,1428.083333,0.000000,974.083333,974.083333,974.125000,974.166667,447.583333,449.500000,450.625000,452.750000,1544.708333,0.000000,1039.250000,1039.041667,1038.916667,504.125000,504.916667,505.000000,505.666667,739.583333,739.583333
