# Activity Headers - 从 activity_increase_rates.csv 提取
# 格式: 序号 | 活动名称
==================================================

  1 | Vessel_Pending
  2 | Vessel_Berthing
  3 | WharfAllocation_Idling
  4 | WharfAllocation_BeingOccupied
  5 | QcLine_Idling
  6 | QcLine_Discharging
  7 | QcLine_Loading
  8 | QC_Idling
  9 | QC_Repositioning
 10 | QC_RestoringToDischarge
 11 | QC_LiftAndTransportDisch
 12 | QC_PendingToDrop
 13 | QC_DroppingToMount
 14 | QC_RestoringToLoad
 15 | QC_LiftingToLoad
 16 | QC_TransportAndLoading
 17 | Container_BeingTransportedToYardFromGate
 18 | Container_PendingToBeDischarged
 19 | Container_BeingDischarged
 20 | Container_PendMountedAtQuay
 21 | Container_BeingMountedAtQuay
 22 | Container_BeingTransportedToYard
 23 | Container_PendDismountedAtYard
 24 | Container_BeingDismountedAtYard
 25 | Container_BeingStacked
 26 | Container_Dwelling
 27 | Container_DwellingForImport
 28 | Container_PendingToAssignAGV
 29 | Container_PendingToAssignYC
 30 | Container_PendingToBeUnstacked
 31 | Container_BeingUnstacked
 32 | Container_PendMountedAtYard
 33 | Container_PendMountForImport
 34 | Container_BeingMountedAtYard
 35 | Container_BeingTransportedToQuay
 36 | Container_PendDismountedAtQuay
 37 | Container_BeingDismountedAtQuay
 38 | Container_BeingLoaded
 39 | Container_BeingTransportedToGate
 40 | AGV_Idling
 41 | AGV_Repositioning
 42 | AGV_PickingFromQuay
 43 | AGV_PendDeliverToYard
 44 | AGV_DeliveringToYard
 45 | AGV_PendIdleAtYard
 46 | AGV_PickingFromYard
 47 | AGV_PendDeliverToQuay
 48 | AGV_DeliveringToQuay
 49 | AGV_PendIdleAtQuay
 50 | YC_Idling
 51 | YC_Repositioning
 52 | YC_RestoringToStack
 53 | YC_LiftingToStack
 54 | YC_TransportAndStacking
 55 | YC_RestoreReshuffleUnst
 56 | YC_LiftTransportUnstack
 57 | YC_PendingToDrop
 58 | YC_DroppingToMount
 59 | YardAllocation_Idling
 60 | YardAllocation_BeingOccupied
