time,pipeline,activity,eventName,vesselId,wharf,wharfmark_start,wharfmark_end,LOA,discharging,loading,num_of_qc
2023.01,Wharf,Berthing,OnStart,V0002,wharf_S,39.85,310.15,240.29,1221,763,3
2171.6,Wharf,Berthing,OnStart,V0005,wharf_N,3487.05,3729.85,212.82,498,277,2
2313.81,Wharf,Berthing,OnStart,V0001,wharf_N,39.85,389.05,319.24,1288,549,2
2942.56,Wharf,Berthing,OnStart,V0003,wharf_S,3544.74,3735.54,160.81,1056,1134,4
3127.57,Wharf,Berthing,OnStart,V0012,wharf_N,3295.11,3445.67,63.17,69,149,1
3430.29,Wharf,Berthing,OnStart,V0006,wharf_N,432.61,853.21,390.61,2442,689,4
3563.41,Wharf,Berthing,OnStart,V0004,wharf_S,347.23,707.63,330.36,1659,1801,4
4072.58,Wharf,Berthing,OnStart,V0017,wharf_N,2988.58,3263.08,244.51,1481,885,4
4621.43,Wharf,Berthing,OnStart,V0008,wharf_S,757.07,1034.67,247.64,1012,361,4
4816.78,Wharf,Berthing,OnStart,V0035,wharf_N,2685.81,2950.01,234.22,6545,1982,2
4917.02,Wharf,Berthing,OnStart,V0009,wharf_S,3294.66,3496.46,171.76,910,487,2
5187.08,Wharf,Berthing,OnStart,V0007,wharf_N,893.68,1200.08,276.38,1301,646,4
5387.91,Wharf,Berthing,OnStart,V0011,wharf_S,1070.14,1463.34,363.23,1779,628,4
6085.09,Wharf,Berthing,OnStart,V0010,wharf_N,1235.22,1578.52,313.28,3983,925,3
6460.4,Wharf,Berthing,OnStart,V0019,wharf_S,2957.8,3251.7,263.91,1320,1724,3
6571.49,Wharf,Berthing,OnStart,V0014,wharf_S,1508.88,1889.18,350.29,616,695,4
6777.21,Wharf,Berthing,OnReadyToDepart,V0012,,,,,,,0
7544.45,Wharf,Berthing,OnStart,V0016,wharf_S,1923.98,2320.88,366.94,972,656,3
7550.9,Wharf,Berthing,OnStart,V0013,wharf_N,1624.06,1885.96,231.96,594,349,1
7684.8,Wharf,Berthing,OnReadyToDepart,V0005,,,,,,,0
8623.21,Wharf,Berthing,OnStart,V0021,wharf_S,2362.28,2663.28,271,581,261,3
8664.22,Wharf,Berthing,OnStart,V0015,wharf_N,1925.8,2151.6,195.76,753,472,4
9249.74,Wharf,Berthing,OnStart,V0026,wharf_S,2761.66,2912.22,118.48,102,649,3
9440.1,Wharf,Berthing,OnReadyToDepart,V0008,,,,,,,0
9469.33,Wharf,Berthing,OnStart,V0022,wharf_N,3513.14,3735.54,192.38,550,730,2
9926.1,Wharf,Berthing,OnStart,V0018,wharf_N,2191.52,2342.08,113.5,65,31,1
10846.2,Wharf,Berthing,OnStart,V0023,wharf_N,2402.13,2596.73,164.61,921,2450,3
10974.43,Wharf,Berthing,OnStart,V0024,wharf_S,745.68,1039.78,264.07,1358,1976,4
10984.21,Wharf,Berthing,OnReadyToDepart,V0003,,,,,,,0
11315.1,Wharf,Berthing,OnReadyToDepart,V0002,,,,,,,0
11695.11,Wharf,Berthing,OnReadyToDepart,V0014,,,,,,,0
12169.46,Wharf,Berthing,OnReadyToDepart,V0007,,,,,,,0
12693.74,Wharf,Berthing,OnReadyToDepart,V0021,,,,,,,0
12705.78,Wharf,Berthing,OnReadyToDepart,V0018,,,,,,,0
12764.92,Wharf,Berthing,OnReadyToDepart,V0017,,,,,,,0
13098.45,Wharf,Berthing,OnStart,V0038,wharf_S,1737.86,1888.42,117.68,439,326,1
13228.81,Wharf,Berthing,OnReadyToDepart,V0015,,,,,,,0
13237.6,Wharf,Berthing,OnStart,V0037,wharf_S,1514.14,1664.7,66.52,85,215,1
13519.25,Wharf,Berthing,OnReadyToDepart,V0026,,,,,,,0
14007.65,Wharf,Berthing,OnStart,V0029,wharf_S,39.85,193.35,123.54,197,1795,2
14124.57,Wharf,Berthing,OnReadyToDepart,V0006,,,,,,,0
14182.02,Wharf,Berthing,OnStart,V0025,wharf_N,3125.3,3468.0,312.66,987,1210,4
14190.42,Wharf,Berthing,OnStart,V0036,wharf_N,899.38,1100.08,170.66,618,2107,3
14211.09,Wharf,Berthing,OnReadyToDepart,V0011,,,,,,,0
14296.18,Wharf,Berthing,OnStart,V0033,wharf_S,2402.74,2670.64,237.94,747,1744,2
14740.98,Wharf,Berthing,OnReadyToDepart,V0009,,,,,,,0
14856.99,Wharf,Berthing,OnStart,V0020,wharf_N,1941.06,2358.26,387.19,1246,1080,4
15009.47,Wharf,Berthing,OnStart,V0030,wharf_S,2716.17,2913.67,167.51,575,889,2
15177.12,Wharf,Berthing,OnReadyToDepart,V0001,,,,,,,0
15351.45,Wharf,Berthing,OnReadyToDepart,V0016,,,,,,,0
16038.11,Wharf,Berthing,OnStart,V0042,wharf_N,652.51,849.51,166.97,774,673,3
16056.59,Wharf,Berthing,OnReadyToDepart,V0004,,,,,,,0
16122.86,Wharf,Berthing,OnStart,V0034,wharf_N,438.3,592.7,124.36,223,516,2
16856.39,Wharf,Berthing,OnStart,V0041,wharf_S,2039.31,2358.01,288.71,7576,2133,2
17374.74,Wharf,Berthing,OnStart,V0039,wharf_S,1092.91,1427.51,304.6,2144,1293,4
17580.26,Wharf,Berthing,OnReadyToDepart,V0037,,,,,,,0
17606.69,Wharf,Berthing,OnStart,V0043,wharf_S,250.46,524.66,244.16,679,5052,4
17825.21,Wharf,Berthing,OnStart,V0028,wharf_S,3386.13,3741.23,325.08,1560,593,4
18405.82,Wharf,Berthing,OnReadyToDepart,V0022,,,,,,,0
18970.24,Wharf,Berthing,OnStart,V0027,wharf_N,46.52,371.42,294.88,1698,2085,4
20433.95,Wharf,Berthing,OnStart,V0031,wharf_N,3575.06,3725.62,84.55,53,482,1
20578.0,Wharf,Berthing,OnReadyToDepart,V0013,,,,,,,0
21324.0,Wharf,Berthing,OnReadyToDepart,V0019,,,,,,,0
21543.47,Wharf,Berthing,OnReadyToDepart,V0034,,,,,,,0
22520.31,Wharf,Berthing,OnReadyToDepart,V0025,,,,,,,0
